,,,n_steps,n_steps,N_req,N_req,N,N,seed,seed,frac,frac,n_pred,n_pred,n_ref,n_ref,acc,acc,comp,comp,chamfer,chamfer,precision@0.1,precision@0.1,recall@0.1,recall@0.1,f1@0.1,f1@0.1,precision@0.2,precision@0.2,recall@0.2,recall@0.2,f1@0.2,f1@0.2,precision@0.5,precision@0.5,recall@0.5,recall@0.5,f1@0.5,f1@0.5,iou,iou
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
ranking,N_req,frac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oracle,-1,0.1,23.666666666666668,10.653226181311249,-1.0,0.0,23.666666666666668,10.653226181311249,0.0,0.0,0.1,0.0,8403.871794871795,3314.551999413361,59403.743589743586,14547.659990379261,0.03636813315027782,0.008001438955467228,0.3187246055309797,0.20872138953364777,0.17754636934062876,0.10747594335935116,0.992809690078847,0.032095040850714594,0.5837754903602856,0.08151035959014642,0.7324579197888931,0.06617515831427975,1.0,0.0,0.7105227615319638,0.09603023973375485,0.8271087543259728,0.06707535375070313,1.0,0.0,0.8362734615828756,0.10306305870288494,0.9072762112471577,0.06531516615853437,0.33904157679570734,0.05570583511857418
oracle,-1,0.25,23.666666666666668,10.653226181311249,-1.0,0.0,23.666666666666668,10.653226181311249,0.0,0.0,0.25,0.0,21010.17948717949,8286.467537884299,59403.743589743586,14547.659990379261,0.07584290778109924,0.030660500849041677,0.274742884731933,0.19873934613994695,0.17529289625651612,0.1129620722369095,0.7737589631417696,0.2105786389596106,0.6609883089549656,0.10192253632513995,0.7073094147571615,0.14361613093809608,0.9671164157430473,0.09655573559674872,0.7663886421364602,0.10170577662098801,0.8535170988082393,0.09439023775234194,1.0,0.0,0.8630160328694446,0.1008667528031665,0.9231830240496064,0.06252267294515036,0.3075226335540043,0.09289093375490626
oracle,-1,0.5,23.666666666666668,10.653226181311249,-1.0,0.0,23.666666666666668,10.653226181311249,0.0,0.0,0.5,0.0,42021.02564102564,16572.95868590121,59403.743589743586,14547.659990379261,0.17023810997732516,0.08334175221414088,0.2526769426421981,0.19433069797784908,0.2114575263097616,0.13603505725401083,0.3984479549684404,0.1205274839990546,0.6622436542814445,0.10268325241526087,0.492625772111338,0.11794247165969121,0.690604274568502,0.19326409815586063,0.7797997381897882,0.10890806314137667,0.7263623379635101,0.15150217376340255,0.9687708291512439,0.09800357555391652,0.8794641409935492,0.10441708296849438,0.9205880246017799,0.09585837698601377,0.1838823853866858,0.05481269013255812
oracle,-1,0.75,23.666666666666668,10.653226181311249,-1.0,0.0,23.666666666666668,10.653226181311249,0.0,0.0,0.75,0.0,63031.53846153846,24859.421888360193,59403.743589743586,14547.659990379261,0.3130989112427041,0.17235140097062182,0.24749775203927543,0.19492317367461076,0.2802983316409898,0.18014149095800508,0.2656317400324762,0.08035093828344309,0.6622436542814445,0.10268325241526087,0.37591777114081704,0.09540546867326964,0.4606430428537489,0.12924487739882248,0.7798093618857774,0.10891505622829263,0.5746038895532732,0.12830471216718728,0.8232919130961289,0.17544184876454116,0.882637699064357,0.10592139767686541,0.8486565663237223,0.14162490617154241,0.1309589352424119,0.038750225564397674
oracle,-1,0.9,23.666666666666668,10.653226181311249,-1.0,0.0,23.666666666666668,10.653226181311249,0.0,0.0,0.9,0.0,75637.71794871795,29831.356299731186,59403.743589743586,14547.659990379261,0.4485192615729275,0.25264541967933785,0.24648439361403587,0.1951510125249825,0.3475018275934817,0.22030890213117224,0.221360494345434,0.06695985048841596,0.6622436542814445,0.10268325241526087,0.3291939419142321,0.08547799701564687,0.38387041175754344,0.10770535616395745,0.7798093618857774,0.10891505622829263,0.510649040329954,0.11718557297413437,0.6923532238054894,0.1534077595246927,0.8826799284878004,0.10594109896773746,0.7726228983569989,0.13517106580048402,0.11168512913566356,0.03298158569114674
oracle,-1,1.0,23.666666666666668,10.653226181311249,-1.0,0.0,23.666666666666668,10.653226181311249,0.0,0.0,1.0,0.0,84042.51282051283,33145.915915659796,59403.743589743586,14547.659990379261,0.6045948985061247,0.3238393194209554,0.24609129909241304,0.1953094282475204,0.4253430987992689,0.25601349036417786,0.19922247917276797,0.06026254313818719,0.6622436542814445,0.10268325241526087,0.30401428022655314,0.07990698023556429,0.34547999199156376,0.09693258658215632,0.7798093618857774,0.10891505622829263,0.47539493479362366,0.11072706251205892,0.6231119701529817,0.1380635422945618,0.8826799284878004,0.10594109896773746,0.7273840963252491,0.1292108711944184,0.10170705697987846,0.030007937719068317
oracle,1,0.1,23.666666666666668,10.560988720693754,1.0,0.0,1.0,0.0,1.0,0.8200084103858011,0.1,0.0,887.6837606837607,181.4663286698327,14272.649572649572,2647.965293410693,0.028664192568363667,0.007073208770286201,0.5849635510678085,0.1651885237489811,0.30681387181808606,0.08472251810849299,1.0,0.0,0.24284318216721376,0.034117602352998475,0.3895722081675069,0.04464865066302322,1.0,0.0,0.37150238747505704,0.04882279625361629,0.5398902971033126,0.052615899768695115,1.0,0.0,0.623376592087704,0.07913436808053093,0.7651124968410047,0.05988673345519796,0.09682048349460079,0.01873968320752717
oracle,1,0.25,23.666666666666668,10.560988720693754,1.0,0.0,1.0,0.0,1.0,0.8200084103858011,0.25,0.0,2219.957264957265,453.54945731081835,14272.649572649572,2647.965293410693,0.049230054972212695,0.020347986750731496,0.48721768343297167,0.151695650665259,0.2682238692025922,0.08181398048179277,0.9445215959210481,0.11924895949127362,0.38126895513845954,0.060122154799948736,0.5405976923893995,0.07345555390477788,0.9938418947365498,0.041814229308042114,0.49636634648154115,0.06328195409786418,0.6595616864067623,0.05889893785862399,1.0,0.0,0.7007125607946845,0.07520635627807444,0.8217571081080711,0.051764393289642996,0.16962191145986596,0.0439341349589406
