scene,seq,n_steps,N_req,N,seed,ranking,frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
apartment_2,seq_0005,18,1,1,0,support,1.0,7337,15332,0.3813217690096093,0.5555365087336577,0.4684291388716335,0.31893144336922447,0.37144534307331073,0.34319114351915847,0.46326836581709147,0.48819462561961907,0.47540498883719695,0.6919721957203216,0.6526219671275764,0.6717212792476916,0.10744162362697315
apartment_2,seq_0005,18,1,1,0,support,0.9,6603,15332,0.3514310804540695,0.5567977080608318,0.4541143942574507,0.3459033772527639,0.3689668666840595,0.357063079245093,0.4958352264122369,0.48715105661361857,0.4914547814633556,0.723156141147963,0.651969736498826,0.6857203787024466,0.1123052122514777
apartment_2,seq_0005,18,1,1,0,support,0.75,5502,15332,0.31254248411864877,0.55884493246993,0.43569370829428933,0.38731370410759725,0.36368379859118183,0.3751269974935457,0.5430752453653217,0.48512914166449256,0.512469370811336,0.7620865139949109,0.6507304983042004,0.7020200531076678,0.11565702858095159
apartment_2,seq_0005,18,1,1,0,support,0.5,3668,15332,0.24550298316600935,0.5678015830892104,0.40665228312760987,0.4618320610687023,0.3372032350639186,0.3897982124252893,0.6112322791712105,0.47312809809548656,0.5333857116170119,0.8383315158124318,0.6483824680406992,0.7312226334886778,0.11384229805282436
apartment_2,seq_0005,18,1,1,0,support,0.25,1834,15332,0.16373021250448155,0.6679346221741562,0.41583241733931886,0.6014176663031625,0.2752413253326376,0.37764968392753206,0.7508178844056707,0.3932298460735716,0.5161393065138089,0.9187568157033806,0.5794416905817897,0.7106748542217235,0.08711697606799373
apartment_2,seq_0005,18,1,1,0,support,0.1,733,15332,0.12514990310345983,1.1360014616422827,0.6305756823728712,0.7175989085948158,0.14649099921732325,0.24331213732950951,0.834924965893588,0.22149752152361074,0.35011335484868666,0.9454297407912687,0.3783589877380642,0.540436448798965,0.04219562326199976
apartment_2,seq_0005,18,1,1,0,oracle,1.0,7337,15332,0.3813217690096093,0.5555365087336577,0.4684291388716335,0.31893144336922447,0.37144534307331073,0.34319114351915847,0.46326836581709147,0.48819462561961907,0.47540498883719695,0.6919721957203216,0.6526219671275764,0.6717212792476916,0.10744162362697315
apartment_2,seq_0005,18,1,1,0,oracle,0.9,6603,15332,0.29173661348441593,0.5557060823041262,0.42372134789427107,0.35438437074057244,0.37144534307331073,0.36271434377596967,0.5147660154475239,0.48819462561961907,0.501128343233328,0.7688929274572164,0.6526219671275764,0.7060023313708269,0.11350188273265197
apartment_2,seq_0005,18,1,1,0,oracle,0.75,5502,15332,0.19976605028970584,0.5602182623810191,0.3799921563353625,0.42529989094874593,0.37144534307331073,0.39655251680645826,0.6177753544165758,0.48819462561961907,0.5453938412624139,0.9227553616866594,0.6526219671275764,0.7645284825505787,0.1239926124916051
apartment_2,seq_0005,18,1,1,0,oracle,0.5,3668,15332,0.09565677468381813,0.5847781415403185,0.3402174581120683,0.6379498364231189,0.37144534307331073,0.469515806429678,0.9266630316248636,0.48819462561961907,0.6394875265130219,1.0,0.6460996608400731,0.785006735874475,0.14655685651915062
apartment_2,seq_0005,18,1,1,0,oracle,0.25,1834,15332,0.053048405891051933,0.6648292876362442,0.35893884676364807,1.0,0.3375945734411688,0.5047786229763994,1.0,0.44012522828072004,0.611231884057971,1.0,0.6005087398904253,0.7503973267044297,0.15739969043933802
apartment_2,seq_0005,18,1,1,0,oracle,0.1,733,15332,0.03429377158847161,0.8357902307114577,0.43504200114996466,1.0,0.1882337594573441,0.3168295092765397,1.0,0.28032872423689015,0.4379011716760061,1.0,0.48512914166449256,0.6533157663592446,0.07992984214482586
apartment_2,seq_0005,18,1,1,1,support,1.0,6970,18172,0.19669067222957817,0.29765251515026875,0.24717159368992347,0.4896700143472023,0.4323134492626018,0.4592076566624783,0.6593974175035868,0.5838652872551178,0.6193369448184904,0.8931133428981348,0.7923728813559322,0.8397325148152023,0.17141024613164435
apartment_2,seq_0005,18,1,1,1,support,0.9,6273,18172,0.17983439087870612,0.300368668329867,0.24010152960428655,0.514745735692651,0.4293418445960819,0.46818089396464757,0.6928104575163399,0.5827096632181378,0.633008200828514,0.9172644667623147,0.7901716927140656,0.8489880132213158,0.17457369576228263
apartment_2,seq_0005,18,1,1,1,support,0.75,5227,18172,0.18032464936922674,0.3030143775131039,0.24166951344116533,0.5249665199923474,0.41910631741140214,0.4661012926996815,0.6919839295963268,0.5799031476997578,0.6310051671940088,0.913143294432753,0.7887409200968523,0.8463953964462034,0.16705967712679123
apartment_2,seq_0005,18,1,1,1,support,0.5,3485,18172,0.17150218412114793,0.32193632241650394,0.24671925326882593,0.5661406025824964,0.37436715826546335,0.45070217895154335,0.7142037302725969,0.548976447281532,0.6207840076139362,0.9133428981348637,0.7754237288135594,0.8387514822422518,0.1439440674480773
apartment_2,seq_0005,18,1,1,1,support,0.25,1742,18172,0.15902174585577258,0.5046774924321585,0.33184961914396555,0.6199770378874856,0.25500770416024654,0.36137526397033626,0.7307692307692307,0.4259850319172353,0.538224520340912,0.9219288174512055,0.6795069337442219,0.7823692251269804,0.10258519388954171
apartment_2,seq_0005,18,1,1,1,support,0.1,697,18172,0.11282799773025132,0.7311633833074387,0.421995690518845,0.776183644189383,0.12992515958617654,0.22259089288015538,0.8436154949784792,0.21010345586616774,0.3364208848576705,0.9612625538020086,0.47985912392692054,0.6401549765847736,0.061759837004966255
apartment_2,seq_0005,18,1,1,1,oracle,1.0,6970,18172,0.19669067222957817,0.29765251515026875,0.24717159368992347,0.4896700143472023,0.4323134492626018,0.4592076566624783,0.6593974175035868,0.5838652872551178,0.6193369448184904,0.8931133428981348,0.7923728813559322,0.8397325148152023,0.17141024613164435
apartment_2,seq_0005,18,1,1,1,oracle,0.9,6273,18172,0.1484792496852221,0.3017151157898855,0.2250971827375538,0.5440777937191137,0.4323134492626018,0.4817989701579106,0.7326637972262076,0.5838652872551178,0.6498556901953091,0.9923481587757054,0.7923728813559322,0.8811570572612997,0.18155570652173914
apartment_2,seq_0005,18,1,1,1,oracle,0.75,5227,18172,0.09904277664968407,0.31764517780805385,0.20834397722886897,0.6529558063898986,0.4323134492626018,0.5202056087118095,0.8792806581212933,0.5838652872551178,0.7017501646423722,1.0,0.773167510455646,0.872074979827447,0.19925442684063374
apartment_2,seq_0005,18,1,1,1,oracle,0.5,3485,18172,0.056618830775882034,0.40906029473206323,0.23283956275397263,0.9793400286944046,0.4323134492626018,0.5998382356816722,1.0,0.5462799911952454,0.7065731876579238,1.0,0.6976667400396214,0.8219124797406806,0.2377350094560018
apartment_2,seq_0005,18,1,1,1,oracle,0.25,1742,18172,0.03741554292783684,0.47653250437010936,0.2569740236489731,1.0,0.31664098613251157,0.48098303101228784,1.0,0.44662117543473473,0.6174680462568473,1.0,0.6660246533127889,0.7995375722543353,0.1859201213346815
apartment_2,seq_0005,18,1,1,1,oracle,0.1,697,18172,0.025761050062440588,0.6746155134164223,0.35018828173943145,1.0,0.1973365617433414,0.3296258847320526,1.0,0.31955756108298483,0.4843404645731682,1.0,0.5461149020471054,0.7064350797266515,0.0844062947067239
apartment_2,seq_0005,18,1,1,2,support,1.0,7337,15332,0.3813217690096093,0.5555365087336577,0.4684291388716335,0.31893144336922447,0.37144534307331073,0.34319114351915847,0.46326836581709147,0.48819462561961907,0.47540498883719695,0.6919721957203216,0.6526219671275764,0.6717212792476916,0.10744162362697315
apartment_2,seq_0005,18,1,1,2,support,0.9,6603,15332,0.3514310804540695,0.5567977080608318,0.4541143942574507,0.3459033772527639,0.3689668666840595,0.357063079245093,0.4958352264122369,0.48715105661361857,0.4914547814633556,0.723156141147963,0.651969736498826,0.6857203787024466,0.1123052122514777
apartment_2,seq_0005,18,1,1,2,support,0.75,5502,15332,0.31254248411864877,0.55884493246993,0.43569370829428933,0.38731370410759725,0.36368379859118183,0.3751269974935457,0.5430752453653217,0.48512914166449256,0.512469370811336,0.7620865139949109,0.6507304983042004,0.7020200531076678,0.11565702858095159
apartment_2,seq_0005,18,1,1,2,support,0.5,3668,15332,0.24550298316600935,0.5678015830892104,0.40665228312760987,0.4618320610687023,0.3372032350639186,0.3897982124252893,0.6112322791712105,0.47312809809548656,0.5333857116170119,0.8383315158124318,0.6483824680406992,0.7312226334886778,0.11384229805282436
apartment_2,seq_0005,18,1,1,2,support,0.25,1834,15332,0.16373021250448155,0.6679346221741562,0.41583241733931886,0.6014176663031625,0.2752413253326376,0.37764968392753206,0.7508178844056707,0.3932298460735716,0.5161393065138089,0.9187568157033806,0.5794416905817897,0.7106748542217235,0.08711697606799373
apartment_2,seq_0005,18,1,1,2,support,0.1,733,15332,0.12514990310345983,1.1360014616422827,0.6305756823728712,0.7175989085948158,0.14649099921732325,0.24331213732950951,0.834924965893588,0.22149752152361074,0.35011335484868666,0.9454297407912687,0.3783589877380642,0.540436448798965,0.04219562326199976
apartment_2,seq_0005,18,1,1,2,oracle,1.0,7337,15332,0.3813217690096093,0.5555365087336577,0.4684291388716335,0.31893144336922447,0.37144534307331073,0.34319114351915847,0.46326836581709147,0.48819462561961907,0.47540498883719695,0.6919721957203216,0.6526219671275764,0.6717212792476916,0.10744162362697315
apartment_2,seq_0005,18,1,1,2,oracle,0.9,6603,15332,0.29173661348441593,0.5557060823041262,0.42372134789427107,0.35438437074057244,0.37144534307331073,0.36271434377596967,0.5147660154475239,0.48819462561961907,0.501128343233328,0.7688929274572164,0.6526219671275764,0.7060023313708269,0.11350188273265197
apartment_2,seq_0005,18,1,1,2,oracle,0.75,5502,15332,0.19976605028970584,0.5602182623810191,0.3799921563353625,0.42529989094874593,0.37144534307331073,0.39655251680645826,0.6177753544165758,0.48819462561961907,0.5453938412624139,0.9227553616866594,0.6526219671275764,0.7645284825505787,0.1239926124916051
apartment_2,seq_0005,18,1,1,2,oracle,0.5,3668,15332,0.09565677468381813,0.5847781415403185,0.3402174581120683,0.6379498364231189,0.37144534307331073,0.469515806429678,0.9266630316248636,0.48819462561961907,0.6394875265130219,1.0,0.6460996608400731,0.785006735874475,0.14655685651915062
apartment_2,seq_0005,18,1,1,2,oracle,0.25,1834,15332,0.053048405891051933,0.6648292876362442,0.35893884676364807,1.0,0.3375945734411688,0.5047786229763994,1.0,0.44012522828072004,0.611231884057971,1.0,0.6005087398904253,0.7503973267044297,0.15739969043933802
apartment_2,seq_0005,18,1,1,2,oracle,0.1,733,15332,0.03429377158847161,0.8357902307114577,0.43504200114996466,1.0,0.1882337594573441,0.3168295092765397,1.0,0.28032872423689015,0.4379011716760061,1.0,0.48512914166449256,0.6533157663592446,0.07992984214482586
apartment_2,seq_0005,18,2,2,0,support,1.0,14321,29447,0.2966572773813459,0.26292892208332214,0.279793099732334,0.38209622233084284,0.4676877101232723,0.4205815159450871,0.553103833531178,0.6424763133765748,0.5944496699793062,0.782766566580546,0.8445342479709308,0.8124781450762029,0.1486072179397337
apartment_2,seq_0005,18,2,2,0,support,0.9,12888,29447,0.29380391886510077,0.266612763366562,0.28020834111583137,0.3990533829919305,0.4591978809386355,0.4270182300975044,0.5654096834264432,0.6355146534451727,0.5984159500894758,0.7827436374922409,0.8396101470438415,0.81018025394556,0.15199107848148322
apartment_2,seq_0005,18,2,2,0,support,0.75,10740,29447,0.2578450873212306,0.2687281903848695,0.26328663885305004,0.4267225325884544,0.4500628247359663,0.4380820158340847,0.6006517690875233,0.6319489251876252,0.6159030116563825,0.821973929236499,0.8385913675416851,0.8301995022290578,0.15424610051993068
apartment_2,seq_0005,18,2,2,0,support,0.5,7160,29447,0.1891836909611921,0.2806048621762513,0.2348942765687217,0.5189944134078213,0.4224199409107889,0.4657536576515052,0.6910614525139664,0.6079736475702109,0.6468603534313412,0.8958100558659218,0.8297619451896627,0.8615219695510393,0.15707696042728816
apartment_2,seq_0005,18,2,2,0,support,0.25,3580,29447,0.14147816660408902,0.3719354874096674,0.2567068270068782,0.641340782122905,0.32128909566339525,0.42811012758959116,0.785195530726257,0.503107277481577,0.6132682211628931,0.9421787709497207,0.7485652188677964,0.8342862812301826,0.12480023245677757
apartment_2,seq_0005,18,2,2,0,support,0.1,1432,29447,0.10656681645579524,0.7358007951462727,0.421183805801034,0.7793296089385475,0.17000033959316738,0.2791153873939696,0.8666201117318436,0.26046795938465717,0.4005485957115853,0.9643854748603352,0.4872482765646755,0.6474018120733652,0.07116465863453815
apartment_2,seq_0005,18,2,2,0,oracle,1.0,14321,29447,0.29665727738134584,0.26292892208332214,0.279793099732334,0.38209622233084284,0.4676877101232723,0.4205815159450871,0.553103833531178,0.6424763133765748,0.5944496699793062,0.782766566580546,0.8445342479709308,0.8124781450762029,0.1486072179397337
apartment_2,seq_0005,18,2,2,0,oracle,0.9,12888,29447,0.21615501128708026,0.26349782071377204,0.23982641600042615,0.4245810055865922,0.4676877101232723,0.44509308635045375,0.6146027312228429,0.6424763133765748,0.6282304977457563,0.8698013656114215,0.8445342479709308,0.8569816042679362,0.15855881115939996
apartment_2,seq_0005,18,2,2,0,oracle,0.75,10740,29447,0.14290645955275194,0.2673748059055596,0.20514063272915578,0.5094972067039106,0.4676877101232723,0.4876980350684164,0.7375232774674115,0.6424763133765748,0.6867266330809233,1.0,0.8439908989031141,0.9153959484346226,0.17625058438522676
apartment_2,seq_0005,18,2,2,0,oracle,0.5,7160,29447,0.07380992499494683,0.30239699755502303,0.18810346127498492,0.7642458100558659,0.4676877101232723,0.580272177064163,1.0,0.6357523686623425,0.7773210430161103,1.0,0.7999456650932183,0.8888553478105012,0.21651458107332014
apartment_2,seq_0005,18,2,2,0,oracle,0.25,3580,29447,0.044427899900965975,0.385610470184089,0.21501918504252748,1.0,0.4046931775732672,0.5762015278986559,1.0,0.5327537609943288,0.6951589675418189,1.0,0.73749448161103,0.8489172074114613,0.23094045631608237
apartment_2,seq_0005,18,2,2,0,oracle,0.1,1432,29447,0.02923026329448151,0.5104801501181833,0.2698552067063324,1.0,0.23038000475430434,0.374485937456874,1.0,0.37134512853601387,0.5415779307612303,1.0,0.6354806941284341,0.7771179401993356,0.1085619285120532
apartment_2,seq_0005,18,2,2,1,support,1.0,11313,22957,0.17750373048909215,0.38028614446934145,0.2788949374792168,0.4114735260319986,0.49906346648081196,0.4510555989601327,0.6549102802086095,0.6697739251644379,0.6622587137775005,0.9547423318306373,0.8443176373219498,0.8961411000014562,0.1671269939687729
apartment_2,seq_0005,18,2,2,1,support,0.9,10181,22957,0.16753686811311663,0.39805464694249554,0.28279575752780606,0.43669580591297513,0.48577775841791176,0.45993103306061994,0.679501031332875,0.6395870540575859,0.6589401688525445,0.9626755721441902,0.8179204599904168,0.8844140193278714,0.17216599796394993
apartment_2,seq_0005,18,2,2,1,support,0.75,8484,22957,0.14887053704333078,0.4051770493597362,0.2770237932015335,0.47194719471947194,0.46948643115389643,0.4707135969068127,0.7223008015087223,0.6278259354445267,0.6717579379294192,0.983026874115983,0.8090342814827721,0.887584040638342,0.17495892211633257
apartment_2,seq_0005,18,2,2,1,support,0.5,5656,22957,0.13246896095005695,0.44139457642901714,0.28693176868953707,0.5268741159830269,0.42331315067299735,0.4694500755198292,0.7731612446958982,0.5855294681360805,0.6663896177616739,0.9876237623762376,0.7790216491701878,0.8710070363837513,0.1591311715320034
apartment_2,seq_0005,18,2,2,1,support,0.25,2828,22957,0.1142070103004845,0.7195958040083399,0.4169014071544122,0.6128005657708628,0.29450712201071566,0.3978234361333036,0.824964639321075,0.4441346865879688,0.5774101428484754,0.9918670438472419,0.6452498148712811,0.78186480459352,0.11719535606545388
apartment_2,seq_0005,18,2,2,1,support,0.1,1131,22957,0.09142249647939388,1.0642035369699938,0.5778130167246939,0.7232537577365163,0.16596245153983535,0.26997476084479793,0.8753315649867374,0.25839613189876726,0.39900637718002147,0.9946949602122016,0.4115520320599381,0.5822145532111318,0.07081807081807082
apartment_2,seq_0005,18,2,2,1,oracle,1.0,11313,22957,0.17750373048909215,0.38028614446934145,0.2788949374792168,0.4114735260319986,0.49906346648081196,0.4510555989601327,0.6549102802086095,0.6697739251644379,0.6622587137775005,0.9547423318306373,0.8443176373219498,0.8961411000014562,0.1671269939687729
apartment_2,seq_0005,18,2,2,1,oracle,0.9,10181,22957,0.13987057620796983,0.38129259681212474,0.26058158651004726,0.45722424123367056,0.49906346648081196,0.4772285849715496,0.727728121009724,0.6697739251644379,0.6975493472737007,1.0,0.8431850851592106,0.9149217752989554,0.17851767114215183
apartment_2,seq_0005,18,2,2,1,oracle,0.75,8484,22957,0.10475283403027838,0.3836038065548249,0.24417832029255165,0.5486798679867987,0.49906346648081196,0.5226968626717442,0.8732909005186232,0.6697739251644379,0.7581113437561856,1.0,0.8377836825369168,0.9117326380658924,0.19883315450643776
apartment_2,seq_0005,18,2,2,1,oracle,0.5,5656,22957,0.06316526339359027,0.39814333765095455,0.23065430052227243,0.823019801980198,0.49906346648081196,0.6213513553298587,1.0,0.6523500457376835,0.7896027205862969,1.0,0.821318116478634,0.9018941930546254,0.24536577292287323
apartment_2,seq_0005,18,2,2,1,oracle,0.25,2828,22957,0.03600200490843849,0.44230471298003615,0.2391533589442373,1.0,0.42261619549592716,0.5941394408891882,1.0,0.5664503201637845,0.7232279413809405,1.0,0.7879949470749662,0.8814286062318805,0.24272930648769575
apartment_2,seq_0005,18,2,2,1,oracle,0.1,1131,22957,0.024843785176691714,0.4948087076750678,0.25982624642587976,1.0,0.26911181774622117,0.4240947314226875,1.0,0.45628784248813,0.6266451304139746,1.0,0.7471359498192273,0.8552693909097708,0.1130618720253834
apartment_2,seq_0005,18,2,2,2,support,1.0,10261,23855,0.209805114800985,0.29321338330956437,0.25150924905527466,0.3871942305818146,0.434374345001048,0.40942958456715534,0.5766494493714063,0.5937120100607839,0.5850563531933839,0.9138485527726342,0.8366380213791658,0.8735404844820125,0.15993597636050233
apartment_2,seq_0005,18,2,2,2,support,0.9,9234,23855,0.20651193432632714,0.29593399265599785,0.25122296349116247,0.40004331817197314,0.42833787465940054,0.413707375687266,0.5890188434048084,0.5905260951582477,0.5897715062797068,0.9120641108945202,0.8343324250681199,0.8714683587490838,0.16134289439374186
apartment_2,seq_0005,18,2,2,2,support,0.75,7695,23855,0.19082058893720316,0.30163730424854335,0.24622894659287325,0.43430799220272903,0.4184447704883672,0.426228834592158,0.6246913580246913,0.5844896248166003,0.6039221963614824,0.9282651072124757,0.8305596311045902,0.8766985228458517,0.1634024303073624
apartment_2,seq_0005,18,2,2,2,support,0.5,5130,23855,0.16783719521315218,0.3414396688941039,0.254638432053628,0.4968810916179337,0.380088031859149,0.43070742429855063,0.6814814814814815,0.537497380004192,0.600985829026169,0.9463937621832359,0.7954726472437644,0.8643950503489339,0.154416098341332
apartment_2,seq_0005,18,2,2,2,support,0.25,2565,23855,0.12641921973674075,0.4920421939747262,0.3092307068557335,0.6335282651072125,0.29155313351498635,0.3993316720829553,0.7953216374269005,0.45411863341018655,0.578131477814274,0.9715399610136453,0.7292391532173549,0.8331299138827338,0.13077001115958203
apartment_2,seq_0005,18,2,2,2,support,0.1,1026,23855,0.06352195031207628,0.7712644238596852,0.41739318708588075,0.8830409356725146,0.17384196185286105,0.29049494322053837,0.9444444444444444,0.2691678893313771,0.4189379270906694,1.0,0.49679312513099977,0.6638100039209096,0.09444064707222602
apartment_2,seq_0005,18,2,2,2,oracle,1.0,10261,23855,0.209805114800985,0.29321338330956437,0.25150924905527466,0.3871942305818146,0.434374345001048,0.40942958456715534,0.5766494493714063,0.5937120100607839,0.5850563531933839,0.9138485527726342,0.8366380213791658,0.8735404844820125,0.15993597636050233
apartment_2,seq_0005,18,2,2,2,oracle,0.9,9234,23855,0.16514824411055073,0.2952258959105397,0.23018707001054522,0.4302577431232402,0.434374345001048,0.4323062442806804,0.6407840589127138,0.5937120100607839,0.6163505922676898,1.0,0.8366380213791658,0.9110537968182959,0.17073010448840112
apartment_2,seq_0005,18,2,2,2,oracle,0.75,7695,23855,0.12206276354524143,0.3007258958932137,0.21139432971922756,0.5163092917478882,0.434374345001048,0.47181102472298314,0.7689408706952566,0.5937120100607839,0.6700597582930643,1.0,0.8302242716411654,0.9072377462207971,0.1899400497148706
apartment_2,seq_0005,18,2,2,2,oracle,0.5,5130,23855,0.0679864997306365,0.3380353352217062,0.20301091747617134,0.7744639376218324,0.434374345001048,0.5565794374107599,1.0,0.5824774680360512,0.736158940397351,1.0,0.7761475581639069,0.8739674297852253,0.23378025735624944
apartment_2,seq_0005,18,2,2,2,oracle,0.25,2565,23855,0.03690680899413825,0.4316516802817762,0.2342792446379572,1.0,0.3896457765667575,0.5607843137254902,1.0,0.48321106686229304,0.6515742467921541,1.0,0.6659400544959128,0.7994766110565914,0.2546150382710491
apartment_2,seq_0005,18,2,2,2,oracle,0.1,1026,23855,0.025779472867453832,0.5123042110302565,0.26904184194885516,1.0,0.24506392789771536,0.39365677923302245,1.0,0.3719555648710962,0.5422268394035689,1.0,0.6094739048417522,0.7573579205084128,0.11618450098756826
apartment_2,seq_0005,18,4,4,0,support,1.0,22671,37203,0.293220513543423,0.20912362191934097,0.251172067731382,0.3526972784614706,0.5929898126495176,0.4423152119611968,0.537911869789599,0.7574120366637099,0.6290641635086819,0.808918883154691,0.8964868424589415,0.8504546741847357,0.16146978910596455
apartment_2,seq_0005,18,4,4,0,support,0.9,20403,37203,0.2592359782207721,0.22170533882844418,0.24047065852460814,0.3806302994657648,0.5819154369271295,0.460226747980554,0.574033230407293,0.7358815149315915,0.6449586810383006,0.8392393275498701,0.878934494530011,0.8586283700409647,0.1695581128533185
apartment_2,seq_0005,18,4,4,0,support,0.75,17003,37203,0.22665652240645714,0.22509914801327655,0.22587783520986685,0.41351526201258604,0.5667016100852081,0.4781386067673392,0.6104216902899489,0.7320108593393005,0.6657098804582771,0.8746691760277598,0.8775905168937989,0.8761274112531187,0.17592160522631825
apartment_2,seq_0005,18,4,4,0,support,0.5,11335,37203,0.1766103836452542,0.24660853400397645,0.21160945882461532,0.4875165416850463,0.5208450931376502,0.5036300267507515,0.6885752095280105,0.6981695024594791,0.6933391665912328,0.929333921482135,0.8645001747170927,0.8957454194834281,0.182084956944244
apartment_2,seq_0005,18,4,4,0,support,0.25,5667,37203,0.14162059185423354,0.46674093240621606,0.3041807621302248,0.5782601023469208,0.3753998333467731,0.45525399133857625,0.756837833068643,0.5691745289358385,0.6497266985753936,0.9632962766896065,0.7396715318657098,0.8368012936474618,0.1470177780474486
apartment_2,seq_0005,18,4,4,0,support,0.1,2267,37203,0.10638318853061603,0.8419332137772736,0.4741582011539448,0.7203352448169387,0.19874741284305028,0.31153839122921423,0.8398764887516542,0.30008332661344517,0.44217862295136534,0.9779444199382443,0.4844232991963014,0.6479068925529408,0.09739524348810873
apartment_2,seq_0005,18,4,4,0,oracle,1.0,22671,37203,0.293220513543423,0.20912362191934097,0.251172067731382,0.3526972784614706,0.5929898126495176,0.4423152119611968,0.537911869789599,0.7574120366637099,0.6290641635086819,0.808918883154691,0.8964868424589415,0.8504546741847357,0.16146978910596455
apartment_2,seq_0005,18,4,4,0,oracle,0.9,20403,37203,0.20946107173805062,0.2105124767117958,0.2099867742249232,0.39190315149732885,0.5929898126495176,0.4719184415830729,0.5977062196735774,0.7574120366637099,0.6681481605792079,0.8988384061167476,0.8964868424589415,0.8976610842182553,0.17425300195476123
