scene,seq,n_steps,N_req,N,ranking,ref,frac,n_cand,k,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,hit_b0,hit_b1,hit_b2,hit_b3,hit_b4,hit_b5,hit_b6,hit_b7,hit_b8,nref_b0,nref_b1,nref_b2,nref_b3,nref_b4,nref_b5,nref_b6,nref_b7,nref_b8
frl_apartment_5,seq_0000,15,1,1,B_argmax,fixed,0.5,8416,1,4208,48021,0.5036738626314969,1.1234983402064087,0.8135861014189528,0.279467680608365,0.09818621019970429,0.14531756775243818,0.43488593155893535,0.1942275254576123,0.268526503132165,0.6713403041825095,0.41021636367422587,0.5092563090853728,0.04230905322751858,1980.0,1490.0,1385.0,855.0,2760.0,482.0,292.0,38.0,45.0,3399.0,5381.0,6473.0,3801.0,10549.0,5858.0,5570.0,4152.0,2838.0
frl_apartment_5,seq_0000,15,1,1,B_argmax,subset,0.5,8416,1,4208,11762,0.5178979349698267,0.5928731156696879,0.5553855253197573,0.25499049429657794,0.25046760754973646,0.25270881531465667,0.3987642585551331,0.4032477469818058,0.4009934707438032,0.6632604562737643,0.6711443632035368,0.6671791199589787,0.07345739471106758,,,,,,,,,,,,,,,,,,
frl_apartment_5,seq_0000,15,1,1,B_argmax,fixed,0.25,8416,1,2104,48021,0.33687001810889383,1.7649355842735759,1.050902801191235,0.3688212927756654,0.06909477103767102,0.11638587795224124,0.5399239543726235,0.122800441473522,0.20009192471158233,0.7785171102661597,0.25136919264488455,0.38003266363420346,0.03435562259091671,1838.0,1397.0,916.0,53.0,1584.0,109.0,0.0,0.0,0.0,3399.0,5381.0,6473.0,3801.0,10549.0,5858.0,5570.0,4152.0,2838.0
frl_apartment_5,seq_0000,15,1,1,B_argmax,subset,0.25,8416,1,2104,11762,0.34720885649113253,0.9424318327520217,0.6448203446215771,0.34933460076045625,0.20846794762795443,0.2611141432263712,0.502851711026616,0.32128889644618264,0.39207064873853725,0.7737642585551331,0.5292467267471519,0.6285629296045244,0.07047020427897982,,,,,,,,,,,,,,,,,,
frl_apartment_5,seq_0000,15,1,1,B_argmax,fixed,0.1,8416,1,841,48021,0.2957120031395255,2.7442824962184464,1.519997249678986,0.35315101070154575,0.02632181753816039,0.04899205305540963,0.5612366230677764,0.04877032964744591,0.08974223980693904,0.797859690844233,0.11386684991982675,0.1992917077927868,0.013987657948868646,1111.0,838.0,369.0,0.0,24.0,0.0,0.0,0.0,0.0,3399.0,5381.0,6473.0,3801.0,10549.0,5858.0,5570.0,4152.0,2838.0
frl_apartment_5,seq_0000,15,1,1,B_argmax,subset,0.1,8416,1,841,11762,0.2984209048850671,1.648483420013522,0.9734521624492947,0.3341260404280618,0.09369154905628295,0.14634641995659636,0.544589774078478,0.1679136201326305,0.2566838030406198,0.7942925089179548,0.3229892875361333,0.45923592842003347,0.030537459283387622,,,,,,,,,,,,,,,,,,
frl_apartment_5,seq_0000,15,1,1,topk_count1,fixed,0.5,8544,1,4272,48021,0.5239877053668933,1.1281449982428058,0.8260663518048496,0.27340823970037453,0.09739488973574062,0.14362643270543754,0.424625468164794,0.19283230253430791,0.26522139853618587,0.6549625468164794,0.4044897024218571,0.5001180673309632,0.041595326820425015,1990.0,1504.0,1397.0,853.0,2798.0,484.0,172.0,25.0,37.0,3399.0,5381.0,6473.0,3801.0,10549.0,5858.0,5570.0,4152.0,2838.0
frl_apartment_5,seq_0000,15,1,1,topk_count1,subset,0.5,8544,1,4272,11762,0.5379215081089062,0.5952080130713251,0.5665647605901156,0.25,0.25080768576772655,0.2504031915796621,0.38857677902621723,0.4029076687638157,0.39561248388480863,0.6465355805243446,0.6662982485971773,0.6562681664706776,0.07299980533385245,,,,,,,,,,,,,,,,,,
frl_apartment_5,seq_0000,15,1,1,topk_count1,fixed,0.25,8544,1,2136,48021,0.33598179758837227,1.7161831362939772,1.0260824669411748,0.3684456928838951,0.0700318610607859,0.11769331105028592,0.5411985018726592,0.12592407488390495,0.20431004151651763,0.7813670411985019,0.25886591282980365,0.38889229877150977,0.034640486417136164,1856.0,1393.0,918.0,53.0,1654.0,173.0,0.0,0.0,0.0,3399.0,5381.0,6473.0,3801.0,10549.0,5858.0,5570.0,4152.0,2838.0
frl_apartment_5,seq_0000,15,1,1,topk_count1,subset,0.25,8544,1,2136,11762,0.34671468630665553,0.9116236047514248,0.6291691455290401,0.3464419475655431,0.21050841693589525,0.26188669795555025,0.5014044943820225,0.3240945417446013,0.39370720672894577,0.7762172284644194,0.537068525760925,0.6348684453788491,0.0708433734939759,,,,,,,,,,,,,,,,,,
