scene,seq,n_steps,N_req,N,seed,n_vox,ranking,frac,ref,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,recall_r0,recall_r1,recall_r2,prec_r0,prec_r1,prec_r2,kept_r0,kept_r1,kept_r2,nref_r0,nref_r1,nref_r2
frl_apartment_5,seq_0001,16,1,1,0,12130,support,1.0,fixed,12130,48964,0.36855100638489663,0.2298836145000173,0.299217310442457,0.36339653751030504,0.34329303161506414,0.35305883796962806,0.5585325638911789,0.5738501756392451,0.5660877699744903,0.785325638911789,0.8923494812515317,0.8354238768567321,0.12,0.7521971723347344,0.6545343190865742,0.44075511475252743,0.45376955903271693,0.5830653804930332,0.5759312320916905,2109.0,6531.0,3490.0,5234.0,22859.0,20871.0
frl_apartment_5,seq_0001,16,1,1,0,12130,support,1.0,subset,12130,14679,0.3835386427660422,0.17884216073702058,0.2811904017515314,0.31863149216817804,0.49328973363308126,0.3871746147383649,0.5235779060181368,0.698140200286123,0.5983880934344739,0.7758450123660346,0.9289461134954697,0.8455208359300469,0.13705140110340308,,,,,,,,,,,,
frl_apartment_5,seq_0001,16,1,1,0,12130,support,0.5,fixed,6065,48964,0.38723642471830144,0.6699197493008809,0.5285780870095912,0.3965375103050289,0.23619393840372518,0.29604899985574784,0.5454245671887882,0.4044195735642513,0.4644559278937684,0.7739488870568838,0.6652642757944612,0.7155028304907307,0.08873252738949755,0.7372946121513183,0.6011636554529944,0.10545733314167985,0.4641638225255973,0.5788222867705307,0.5769230769230769,1758.0,3787.0,520.0,5234.0,22859.0,20871.0
frl_apartment_5,seq_0001,16,1,1,0,12130,support,0.5,subset,6065,14679,0.3971388005489159,0.3855150692637969,0.3913269349063564,0.36999175597691675,0.40568158593909664,0.38701560112493566,0.5239901071723001,0.5922065535799441,0.5560138036416706,0.7690024732069249,0.804482594182165,0.7863425175105635,0.12577272380370907,,,,,,,,,,,,
frl_apartment_5,seq_0001,16,1,1,0,12130,support,0.25,fixed,3032,48964,0.4144819588688868,1.153352899338384,0.7839174291036354,0.45217678100263853,0.1458418429866841,0.22054930215146107,0.5860817941952506,0.27403806878522996,0.37345660748935383,0.7546174142480211,0.4966301772730986,0.5990273751588457,0.06172446706967865,0.7277416889568208,0.41493503652828206,0.005941258205165062,0.48717948717948717,0.6809338521400778,0.625,1482.0,1542.0,8.0,5234.0,22859.0,20871.0
frl_apartment_5,seq_0001,16,1,1,0,12130,support,0.25,subset,3032,14679,0.41773659908852373,0.6426924887817363,0.53021454393513,0.44393139841688656,0.3144628380679883,0.3681460663538393,0.5794854881266491,0.5001021867974658,0.5368752655497008,0.753957783641161,0.7078820083111929,0.7301937640553108,0.1034937376400791,,,,,,,,,,,,
frl_apartment_5,seq_0001,16,1,1,0,12130,support,0.1,fixed,1213,48964,0.49325968851714574,2.0136187849778477,1.2534392367474967,0.5300906842539159,0.0671309533534842,0.11917013971673693,0.6158285243198681,0.10903929417531247,0.18527380002678137,0.6685902720527618,0.222428723143534,0.3338058589561752,0.03537910244013424,0.6159724875811998,0.0925237324467387,0.0,0.5394190871369294,0.9116465863453815,0.0,964.0,249.0,0.0,5234.0,22859.0,20871.0
frl_apartment_5,seq_0001,16,1,1,0,12130,support,0.1,subset,1213,14679,0.4934453810506741,1.2202099299312161,0.8568276554909451,0.5276174773289365,0.19238367736221815,0.2819578548388808,0.6166529266281946,0.27999182505620274,0.3851196988072022,0.6685902720527618,0.44642005586211597,0.5353710169785032,0.06555435952637244,,,,,,,,,,,,
frl_apartment_5,seq_0001,16,1,1,0,12130,views,0.5,fixed,6065,48964,0.38723642471830144,0.6699197493008809,0.5285780870095912,0.3965375103050289,0.23619393840372518,0.29604899985574784,0.5454245671887882,0.4044195735642513,0.4644559278937684,0.7739488870568838,0.6652642757944612,0.7155028304907307,0.08873252738949755,0.7372946121513183,0.6011636554529944,0.10545733314167985,0.4641638225255973,0.5788222867705307,0.5769230769230769,1758.0,3787.0,520.0,5234.0,22859.0,20871.0
frl_apartment_5,seq_0001,16,1,1,0,12130,views,0.5,subset,6065,14679,0.3971388005489159,0.3855150692637969,0.3913269349063564,0.36999175597691675,0.40568158593909664,0.38701560112493566,0.5239901071723001,0.5922065535799441,0.5560138036416706,0.7690024732069249,0.804482594182165,0.7863425175105635,0.12577272380370907,,,,,,,,,,,,
frl_apartment_5,seq_0001,16,1,1,0,12130,views,0.25,fixed,3032,48964,0.4144819588688868,1.153352899338384,0.7839174291036354,0.45217678100263853,0.1458418429866841,0.22054930215146107,0.5860817941952506,0.27403806878522996,0.37345660748935383,0.7546174142480211,0.4966301772730986,0.5990273751588457,0.06172446706967865,0.7277416889568208,0.41493503652828206,0.005941258205165062,0.48717948717948717,0.6809338521400778,0.625,1482.0,1542.0,8.0,5234.0,22859.0,20871.0
frl_apartment_5,seq_0001,16,1,1,0,12130,views,0.25,subset,3032,14679,0.41773659908852373,0.6426924887817363,0.53021454393513,0.44393139841688656,0.3144628380679883,0.3681460663538393,0.5794854881266491,0.5001021867974658,0.5368752655497008,0.753957783641161,0.7078820083111929,0.7301937640553108,0.1034937376400791,,,,,,,,,,,,
frl_apartment_5,seq_0001,16,1,1,0,12130,views,0.1,fixed,1213,48964,0.49325968851714574,2.0136187849778477,1.2534392367474967,0.5300906842539159,0.0671309533534842,0.11917013971673693,0.6158285243198681,0.10903929417531247,0.18527380002678137,0.6685902720527618,0.222428723143534,0.3338058589561752,0.03537910244013424,0.6159724875811998,0.0925237324467387,0.0,0.5394190871369294,0.9116465863453815,0.0,964.0,249.0,0.0,5234.0,22859.0,20871.0
frl_apartment_5,seq_0001,16,1,1,0,12130,views,0.1,subset,1213,14679,0.4934453810506741,1.2202099299312161,0.8568276554909451,0.5276174773289365,0.19238367736221815,0.2819578548388808,0.6166529266281946,0.27999182505620274,0.3851196988072022,0.6685902720527618,0.44642005586211597,0.5353710169785032,0.06555435952637244,,,,,,,,,,,,
frl_apartment_5,seq_0001,16,1,1,0,12130,cells0.3,0.5,fixed,6065,48964,0.38723642471830144,0.6699197493008809,0.5285780870095912,0.3965375103050289,0.23619393840372518,0.29604899985574784,0.5454245671887882,0.4044195735642513,0.4644559278937684,0.7739488870568838,0.6652642757944612,0.7155028304907307,0.08873252738949755,0.7372946121513183,0.6011636554529944,0.10545733314167985,0.4641638225255973,0.5788222867705307,0.5769230769230769,1758.0,3787.0,520.0,5234.0,22859.0,20871.0
frl_apartment_5,seq_0001,16,1,1,0,12130,cells0.3,0.5,subset,6065,14679,0.3971388005489159,0.3855150692637969,0.3913269349063564,0.36999175597691675,0.40568158593909664,0.38701560112493566,0.5239901071723001,0.5922065535799441,0.5560138036416706,0.7690024732069249,0.804482594182165,0.7863425175105635,0.12577272380370907,,,,,,,,,,,,
frl_apartment_5,seq_0001,16,1,1,0,12130,cells0.3,0.25,fixed,3032,48964,0.4144819588688868,1.153352899338384,0.7839174291036354,0.45217678100263853,0.1458418429866841,0.22054930215146107,0.5860817941952506,0.27403806878522996,0.37345660748935383,0.7546174142480211,0.4966301772730986,0.5990273751588457,0.06172446706967865,0.7277416889568208,0.41493503652828206,0.005941258205165062,0.48717948717948717,0.6809338521400778,0.625,1482.0,1542.0,8.0,5234.0,22859.0,20871.0
frl_apartment_5,seq_0001,16,1,1,0,12130,cells0.3,0.25,subset,3032,14679,0.41773659908852373,0.6426924887817363,0.53021454393513,0.44393139841688656,0.3144628380679883,0.3681460663538393,0.5794854881266491,0.5001021867974658,0.5368752655497008,0.753957783641161,0.7078820083111929,0.7301937640553108,0.1034937376400791,,,,,,,,,,,,
frl_apartment_5,seq_0001,16,1,1,0,12130,cells0.3,0.1,fixed,1213,48964,0.49325968851714574,2.0136187849778477,1.2534392367474967,0.5300906842539159,0.0671309533534842,0.11917013971673693,0.6158285243198681,0.10903929417531247,0.18527380002678137,0.6685902720527618,0.222428723143534,0.3338058589561752,0.03537910244013424,0.6159724875811998,0.0925237324467387,0.0,0.5394190871369294,0.9116465863453815,0.0,964.0,249.0,0.0,5234.0,22859.0,20871.0
frl_apartment_5,seq_0001,16,1,1,0,12130,cells0.3,0.1,subset,1213,14679,0.4934453810506741,1.2202099299312161,0.8568276554909451,0.5276174773289365,0.19238367736221815,0.2819578548388808,0.6166529266281946,0.27999182505620274,0.3851196988072022,0.6685902720527618,0.44642005586211597,0.5353710169785032,0.06555435952637244,,,,,,,,,,,,
frl_apartment_5,seq_0001,16,1,1,0,12130,cells0.6,0.5,fixed,6065,48964,0.38723642471830144,0.6699197493008809,0.5285780870095912,0.3965375103050289,0.23619393840372518,0.29604899985574784,0.5454245671887882,0.4044195735642513,0.4644559278937684,0.7739488870568838,0.6652642757944612,0.7155028304907307,0.08873252738949755,0.7372946121513183,0.6011636554529944,0.10545733314167985,0.4641638225255973,0.5788222867705307,0.5769230769230769,1758.0,3787.0,520.0,5234.0,22859.0,20871.0
frl_apartment_5,seq_0001,16,1,1,0,12130,cells0.6,0.5,subset,6065,14679,0.3971388005489159,0.3855150692637969,0.3913269349063564,0.36999175597691675,0.40568158593909664,0.38701560112493566,0.5239901071723001,0.5922065535799441,0.5560138036416706,0.7690024732069249,0.804482594182165,0.7863425175105635,0.12577272380370907,,,,,,,,,,,,
frl_apartment_5,seq_0001,16,1,1,0,12130,cells0.6,0.25,fixed,3032,48964,0.4144819588688868,1.153352899338384,0.7839174291036354,0.45217678100263853,0.1458418429866841,0.22054930215146107,0.5860817941952506,0.27403806878522996,0.37345660748935383,0.7546174142480211,0.4966301772730986,0.5990273751588457,0.06172446706967865,0.7277416889568208,0.41493503652828206,0.005941258205165062,0.48717948717948717,0.6809338521400778,0.625,1482.0,1542.0,8.0,5234.0,22859.0,20871.0
frl_apartment_5,seq_0001,16,1,1,0,12130,cells0.6,0.25,subset,3032,14679,0.41773659908852373,0.6426924887817363,0.53021454393513,0.44393139841688656,0.3144628380679883,0.3681460663538393,0.5794854881266491,0.5001021867974658,0.5368752655497008,0.753957783641161,0.7078820083111929,0.7301937640553108,0.1034937376400791,,,,,,,,,,,,
frl_apartment_5,seq_0001,16,1,1,0,12130,cells0.6,0.1,fixed,1213,48964,0.49325968851714574,2.0136187849778477,1.2534392367474967,0.5300906842539159,0.0671309533534842,0.11917013971673693,0.6158285243198681,0.10903929417531247,0.18527380002678137,0.6685902720527618,0.222428723143534,0.3338058589561752,0.03537910244013424,0.6159724875811998,0.0925237324467387,0.0,0.5394190871369294,0.9116465863453815,0.0,964.0,249.0,0.0,5234.0,22859.0,20871.0
frl_apartment_5,seq_0001,16,1,1,0,12130,cells0.6,0.1,subset,1213,14679,0.4934453810506741,1.2202099299312161,0.8568276554909451,0.5276174773289365,0.19238367736221815,0.2819578548388808,0.6166529266281946,0.27999182505620274,0.3851196988072022,0.6685902720527618,0.44642005586211597,0.5353710169785032,0.06555435952637244,,,,,,,,,,,,
frl_apartment_5,seq_0001,16,1,1,0,12130,cells1.0,0.5,fixed,6065,48964,0.38723642471830144,0.6699197493008809,0.5285780870095912,0.3965375103050289,0.23619393840372518,0.29604899985574784,0.5454245671887882,0.4044195735642513,0.4644559278937684,0.7739488870568838,0.6652642757944612,0.7155028304907307,0.08873252738949755,0.7372946121513183,0.6011636554529944,0.10545733314167985,0.4641638225255973,0.5788222867705307,0.5769230769230769,1758.0,3787.0,520.0,5234.0,22859.0,20871.0
frl_apartment_5,seq_0001,16,1,1,0,12130,cells1.0,0.5,subset,6065,14679,0.3971388005489159,0.3855150692637969,0.3913269349063564,0.36999175597691675,0.40568158593909664,0.38701560112493566,0.5239901071723001,0.5922065535799441,0.5560138036416706,0.7690024732069249,0.804482594182165,0.7863425175105635,0.12577272380370907,,,,,,,,,,,,
