scene,seq,N_req,N,box_lo,box_hi,A_in_box,B_in_box
apartment_2,seq_0000,1,1,"[-3.79, -3.679, -9.868]","[4.219, 0.343, -0.438]",True,True
apartment_2,seq_0000,2,2,"[-3.79, -3.679, -9.868]","[4.219, 0.343, 1.855]",True,True
apartment_2,seq_0000,4,4,"[-8.2, -3.938, -9.868]","[4.219, 0.362, 1.855]",True,True
apartment_2,seq_0000,8,8,"[-8.404, -3.85, -11.417]","[4.298, 0.401, 2.889]",True,True
apartment_2,seq_0000,16,16,"[-8.675, -3.938, -12.831]","[6.449, 0.421, 3.347]",True,True
apartment_2,seq_0000,-1,37,"[-8.879, -3.938, -12.831]","[6.449, 0.421, 3.934]",True,True
apartment_2,seq_0001,1,1,"[-6.038, -3.619, -9.326]","[3.809, 0.401, -0.085]",True,True
apartment_2,seq_0001,2,2,"[-6.038, -3.619, -9.326]","[6.628, 0.401, 2.341]",True,True
apartment_2,seq_0001,4,4,"[-6.533, -3.619, -9.326]","[6.628, 0.431, 2.341]",True,True
apartment_2,seq_0001,8,8,"[-9.061, -3.669, -9.326]","[6.628, 0.421, 4.759]",True,True
apartment_2,seq_0001,16,16,"[-9.097, -3.826, -9.717]","[7.959, 0.431, 2.721]",True,True
apartment_2,seq_0001,-1,45,"[-9.102, -3.873, -11.976]","[8.465, 0.431, 4.759]",True,True
apartment_2,seq_0002,1,1,"[-3.579, -3.607, -9.181]","[3.976, 0.401, -0.943]",True,True
apartment_2,seq_0002,2,2,"[-5.974, -3.748, -12.702]","[5.203, 0.401, -0.943]",True,True
apartment_2,seq_0002,4,4,"[-5.974, -3.748, -12.702]","[6.783, 0.401, 3.829]",True,True
apartment_2,seq_0002,8,8,"[-5.978, -3.793, -12.702]","[6.2, 0.401, 0.435]",True,True
apartment_2,seq_0002,16,16,"[-5.987, -3.897, -13.824]","[7.012, 0.401, 3.829]",True,True
apartment_2,seq_0002,-1,24,"[-5.987, -3.897, -13.824]","[7.012, 0.401, 3.829]",True,True
apartment_2,seq_0003,1,1,"[-3.914, -3.529, -10.58]","[4.942, 0.274, -0.845]",True,True
