| run | directory | commit | temperature | band | frac chosen on |
|---|---|---|---|---|---|
| r2_v3fixed | results/E30_stage_d/r2_v3fixed | 5fa1e22 | 1.378 | interp | r2_v3fixed_val |
| r2_warm_v3fixed | results/E30_stage_d/r2_warm_v3fixed | 43c9b2c | 1.902 | interp | r2_warm_v3fixed_val |
| r2_warm_headonly_v3fixed | results/E30_stage_d/r2_warm_headonly_v3fixed | a93a1e1 | 1.448 | interp | r2_warm_headonly_v3fixed_val |

f1@0.2, test; columns = view count; one sub-column per run in the order given

| method | N | r2_v3fixed | r2_warm_v3fixed | r2_warm_headonly_v3fixed |
|---|---|---|---|---|
| A_point | 1 | 0.434 | 0.434 | 0.434 |
| A_point | 2 | 0.498 | 0.498 | 0.498 |
| A_point | 4 | 0.551 | 0.551 | 0.551 |
| A_point | 8 | 0.564 | 0.564 | 0.564 |
| A_point | 16 | 0.561 | 0.561 | 0.561 |
| A_point | all | 0.562 | 0.562 | 0.562 |
| B_argmax | 1 | 0.435 | 0.444 | 0.414 |
| B_argmax | 2 | 0.503 | 0.508 | 0.488 |
| B_argmax | 4 | 0.551 | 0.558 | 0.515 |
| B_argmax | 8 | 0.558 | 0.564 | 0.517 |
| B_argmax | 16 | 0.559 | 0.566 | 0.513 |
| B_argmax | all | 0.556 | 0.564 | 0.512 |
| C_on_B | 1 | 0.435 | 0.444 | 0.414 |
| C_on_B | 2 | 0.503 | 0.513 | 0.488 |
| C_on_B | 4 | 0.526 | 0.526 | 0.499 |
| C_on_B | 8 | 0.531 | 0.530 | 0.502 |
| C_on_B | 16 | 0.527 | 0.526 | 0.499 |
| C_on_B | all | 0.520 | 0.518 | 0.492 |
| C_grid | 1 | 0.460 | 0.459 | 0.449 |
| C_grid | 2 | 0.513 | 0.509 | 0.501 |
| C_grid | 4 | 0.527 | 0.522 | 0.494 |
| C_grid | 8 | 0.522 | 0.519 | 0.490 |
| C_grid | 16 | 0.516 | 0.516 | 0.491 |
| C_grid | all | 0.512 | 0.514 | 0.488 |
| D_conf_sum | 1 | 0.435 | 0.444 | 0.414 |
| D_conf_sum | 2 | 0.503 | 0.513 | 0.488 |
| D_conf_sum | 4 | 0.550 | 0.557 | 0.511 |
| D_conf_sum | 8 | 0.558 | 0.563 | 0.516 |
| D_conf_sum | 16 | 0.549 | 0.553 | 0.508 |
| D_conf_sum | all | 0.549 | 0.554 | 0.501 |
| E_conf_filter50 | 1 | 0.197 | 0.216 | 0.274 |
| E_conf_filter50 | 2 | 0.289 | 0.310 | 0.383 |
| E_conf_filter50 | 4 | 0.362 | 0.379 | 0.454 |
| E_conf_filter50 | 8 | 0.384 | 0.401 | 0.472 |
| E_conf_filter50 | 16 | 0.395 | 0.413 | 0.478 |
| E_conf_filter50 | all | 0.400 | 0.418 | 0.477 |
| B_argmax_matchE50 | 1 | 0.252 | 0.272 | 0.278 |
| B_argmax_matchE50 | 2 | 0.354 | 0.379 | 0.393 |
| B_argmax_matchE50 | 4 | 0.435 | 0.458 | 0.460 |
| B_argmax_matchE50 | 8 | 0.459 | 0.481 | 0.483 |
| B_argmax_matchE50 | 16 | 0.472 | 0.495 | 0.501 |
| B_argmax_matchE50 | all | 0.476 | 0.499 | 0.505 |
| E_conf_filter75 | 1 | 0.105 | 0.098 | 0.219 |
| E_conf_filter75 | 2 | 0.165 | 0.152 | 0.295 |
| E_conf_filter75 | 4 | 0.227 | 0.215 | 0.389 |
| E_conf_filter75 | 8 | 0.244 | 0.234 | 0.415 |
| E_conf_filter75 | 16 | 0.253 | 0.245 | 0.430 |
| E_conf_filter75 | all | 0.258 | 0.250 | 0.435 |
| B_argmax_matchE75 | 1 | 0.129 | 0.140 | 0.194 |
| B_argmax_matchE75 | 2 | 0.198 | 0.211 | 0.280 |
| B_argmax_matchE75 | 4 | 0.274 | 0.301 | 0.376 |
| B_argmax_matchE75 | 8 | 0.295 | 0.324 | 0.404 |
| B_argmax_matchE75 | 16 | 0.309 | 0.336 | 0.428 |
| B_argmax_matchE75 | all | 0.316 | 0.342 | 0.436 |
| oracle | 1 | 0.537 | 0.548 | 0.526 |
| oracle | 2 | 0.662 | 0.645 | 0.646 |
| oracle | 4 | 0.754 | 0.765 | 0.759 |
| oracle | 8 | 0.819 | 0.827 | 0.814 |
| oracle | 16 | 0.856 | 0.863 | 0.844 |
| oracle | all | 0.861 | 0.871 | 0.850 |
