scene,seq,N_req,N,method,frac,n_cand,kept,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,grid_voxel
apartment_2,seq_0000,1,1,A_point,1.0,8039,8039,8039,14393,0.5756092020073144,0.7305585353057035,0.6530838686565089,0.22328647841771365,0.3514903077885083,0.2730904758422017,0.35688518472446823,0.4710623219620649,0.40610102073492454,0.5684786665008086,0.6050858055999444,0.5862112905825809,0.040763742071881603,
apartment_2,seq_0000,1,1,A_point,0.5,8039,4019,4019,14393,0.3217024538823298,0.7377064375026041,0.529704445692467,0.38342871361035086,0.34224970471757105,0.36167084675261985,0.5367006718089077,0.4611269367053429,0.49605189234530317,0.7743219706394625,0.6024456332939624,0.6776552391886139,0.044232823068707725,
apartment_2,seq_0000,1,1,A_point,0.25,8039,2009,2009,14393,0.18622379449529336,0.7818053456628588,0.48401457007907606,0.5893479342956695,0.31022024595289377,0.4064787197753363,0.6933797909407665,0.4029041895365803,0.5096592264139278,0.9133897461423593,0.5665948725074689,0.6993612504396004,0.030743135799851586,
apartment_2,seq_0000,1,1,A_point,0.1,8039,803,803,14393,0.12078264674065697,1.1987657453078617,0.6597741960242594,0.7384806973848069,0.18536788716737304,0.29634857676264176,0.821917808219178,0.2575557562704092,0.392209072369645,0.987546699875467,0.40158410338358924,0.5709801482891081,0.009482043380348465,
apartment_2,seq_0000,1,1,A_point,0.05,8039,401,401,14393,0.09741422511053066,1.4637142784273995,0.780564251768965,0.8154613466334164,0.10928923782394219,0.19274634814261335,0.9027431421446384,0.1574376432988258,0.2681160699285431,1.0,0.2799277426526784,0.43741179025078714,0.006823821339950372,
apartment_2,seq_0000,1,1,A_point,0.02,8039,160,160,14393,0.07543404519045893,1.6553176012218456,0.8653758232061523,0.9125,0.05356770652400472,0.10119483732466475,0.96875,0.08997429305912596,0.16465589194931327,1.0,0.19294101299242689,0.3234711706464764,0.002546473134708429,
apartment_2,seq_0000,1,1,B_argmax,1.0,8821,8821,8821,14393,0.5497483424974396,0.6382647601661542,0.5940065513317969,0.25892755923364696,0.38713263391926633,0.310309500764067,0.3898650946604693,0.5153199471965538,0.44389876258239397,0.6073007595510713,0.6389216980476621,0.6227100629620362,0.053318894126640336,
apartment_2,seq_0000,1,1,B_argmax,0.5,8821,4410,4410,14393,0.3424191235088723,0.7066372103478697,0.524528166928371,0.39909297052154197,0.3496143958868895,0.37271877919651203,0.554875283446712,0.49635239352463,0.5239848247525568,0.7689342403628118,0.6180087542555409,0.6852597314164534,0.05142658919434568,
apartment_2,seq_0000,1,1,B_argmax,0.25,8821,2205,2205,14393,0.1968556191939001,0.7684665132785962,0.48266106623624816,0.5369614512471655,0.28638921698047665,0.37354671710513176,0.6979591836734694,0.4325713888695894,0.5341158935255921,0.9020408163265307,0.581949558813312,0.7074739349887722,0.03484611371935316,
apartment_2,seq_0000,1,1,B_argmax,0.1,8821,882,882,14393,0.12681282763496082,1.2020195329416472,0.664416180288304,0.5941043083900227,0.15299103730980337,0.24332271626099106,0.8231292517006803,0.2662405335927187,0.4023433991783439,0.9909297052154195,0.40297366775515875,0.5729501564332959,0.011056222065396377,
apartment_2,seq_0000,1,1,B_argmax,0.05,8821,441,441,14393,0.12269332263991674,1.4231840277387453,0.772938675189331,0.5714285714285714,0.07857986521225596,0.13816060712486067,0.8435374149659864,0.1617452928506913,0.2714424612167293,0.9977324263038548,0.29000208434655733,0.44938530551941636,0.006169031462060457,
apartment_2,seq_0000,1,1,B_argmax,0.02,8821,176,176,14393,0.10533608176488118,1.6161454158263087,0.8607407487955949,0.5454545454545454,0.03571180434933648,0.0670347345998348,0.9147727272727273,0.10220245952893768,0.1838629375634906,1.0,0.21295073994302785,0.35112842249971354,0.0017775520568816658,
apartment_2,seq_0000,1,1,C_on_B,1.0,8821,8821,8821,14393,0.5497483424974396,0.6382647601661542,0.5940065513317969,0.25892755923364696,0.38713263391926633,0.310309500764067,0.3898650946604693,0.5153199471965538,0.44389876258239397,0.6073007595510713,0.6389216980476621,0.6227100629620362,0.053318894126640336,
