scene,seq,N_req,N,box_lo,box_hi,A_in_box,B_in_box
apartment_2,seq_0000,1,1,"[-5.374, -3.695, -9.483]","[4.518, 0.274, -0.814]",True,True
apartment_2,seq_0000,2,2,"[-5.374, -3.695, -9.483]","[4.518, 0.274, 2.087]",True,True
apartment_2,seq_0000,4,4,"[-7.264, -3.724, -9.483]","[4.518, 0.314, 2.087]",True,True
apartment_2,seq_0000,8,8,"[-8.75, -3.73, -10.12]","[4.657, 0.294, 2.087]",True,True
apartment_2,seq_0000,16,16,"[-8.249, -3.815, -10.036]","[6.126, 0.314, 2.093]",True,True
apartment_2,seq_0000,-1,37,"[-9.353, -3.829, -10.14]","[6.126, 0.314, 2.128]",True,True
apartment_2,seq_0001,1,1,"[-5.506, -3.695, -10.209]","[3.094, 0.255, 0.607]",True,True
apartment_2,seq_0001,2,2,"[-5.506, -3.695, -10.209]","[8.157, 0.524, 2.049]",True,True
apartment_2,seq_0001,4,4,"[-8.981, -3.695, -10.209]","[8.157, 0.524, 2.345]",True,True
apartment_2,seq_0001,8,8,"[-9.038, -4.105, -10.209]","[8.157, 0.524, 2.578]",True,True
apartment_2,seq_0001,16,16,"[-9.091, -3.724, -10.318]","[8.157, 0.524, 2.555]",True,True
apartment_2,seq_0001,-1,45,"[-9.091, -4.105, -10.821]","[8.157, 0.562, 2.578]",True,True
apartment_2,seq_0002,1,1,"[-5.816, -3.656, -6.918]","[3.089, 0.294, -0.543]",True,True
apartment_2,seq_0002,2,2,"[-6.7, -3.656, -11.409]","[3.883, 0.294, -0.493]",True,True
apartment_2,seq_0002,4,4,"[-6.7, -3.656, -11.409]","[4.006, 0.294, -0.013]",True,True
apartment_2,seq_0002,8,8,"[-6.7, -3.656, -11.409]","[5.58, 0.294, -0.055]",True,True
apartment_2,seq_0002,16,16,"[-6.7, -3.679, -11.729]","[6.033, 0.304, 0.686]",True,True
apartment_2,seq_0002,-1,24,"[-6.7, -3.679, -11.729]","[6.033, 0.304, 1.153]",True,True
apartment_2,seq_0003,1,1,"[-6.947, -3.634, -8.077]","[3.983, 0.357, -0.877]",True,True
apartment_2,seq_0003,2,2,"[-6.947, -3.679, -15.684]","[3.983, 0.524, -0.877]",True,True
apartment_2,seq_0003,4,4,"[-6.947, -3.695, -15.684]","[5.067, 0.524, 0.604]",True,True
apartment_2,seq_0003,8,8,"[-7.592, -3.695, -15.684]","[4.202, 0.524, 3.233]",True,True
apartment_2,seq_0003,16,16,"[-7.413, -3.704, -15.889]","[5.067, 0.524, 0.604]",True,True
apartment_2,seq_0003,-1,31,"[-9.233, -3.757, -15.889]","[5.067, 0.524, 3.233]",True,True
apartment_2,seq_0004,1,1,"[-6.521, -3.665, -10.025]","[3.313, 0.39, 0.108]",True,True
apartment_2,seq_0004,2,2,"[-6.521, -3.685, -15.892]","[4.23, 0.524, 0.108]",True,True
apartment_2,seq_0004,4,4,"[-6.672, -3.685, -15.892]","[4.23, 0.524, 0.108]",True,True
apartment_2,seq_0004,8,8,"[-7.58, -3.714, -15.892]","[4.23, 0.536, 0.631]",True,True
apartment_2,seq_0004,16,16,"[-7.672, -3.695, -15.892]","[4.304, 0.536, 2.056]",True,True
apartment_2,seq_0004,-1,42,"[-9.994, -3.748, -16.227]","[4.304, 0.536, 2.056]",True,True
apartment_2,seq_0005,1,1,"[-3.388, -3.617, -8.094]","[5.387, 0.235, 1.476]",True,True
apartment_2,seq_0005,2,2,"[-3.388, -3.646, -8.094]","[6.885, 0.235, 1.873]",True,True
apartment_2,seq_0005,4,4,"[-3.388, -3.646, -8.094]","[7.902, 0.235, 2.108]",True,True
apartment_2,seq_0005,8,8,"[-3.388, -3.692, -8.094]","[7.89, 0.235, 2.145]",True,True
apartment_2,seq_0005,16,16,"[-3.388, -3.692, -8.094]","[7.902, 0.235, 2.217]",True,True
apartment_2,seq_0005,-1,18,"[-3.388, -3.692, -8.094]","[8.21, 0.524, 2.217]",True,True
apartment_2,seq_0006,1,1,"[-5.024, -3.695, -8.229]","[3.827, 0.274, -1.279]",True,True
apartment_2,seq_0006,2,2,"[-10.828, -3.695, -8.242]","[3.827, 0.577, -0.674]",True,True
apartment_2,seq_0006,4,4,"[-10.828, -3.695, -8.242]","[3.827, 0.577, -0.401]",True,True
apartment_2,seq_0006,8,8,"[-10.828, -3.724, -8.423]","[4.262, 0.577, 0.326]",True,True
apartment_2,seq_0006,16,16,"[-10.828, -3.724, -8.423]","[4.262, 0.701, 0.326]",True,True
apartment_2,seq_0006,-1,18,"[-10.828, -3.724, -8.618]","[4.262, 0.711, 0.326]",True,True
apartment_2,seq_0007,1,1,"[-5.232, -3.656, -9.515]","[4.412, 0.138, 0.181]",True,True
apartment_2,seq_0007,2,2,"[-5.232, -3.695, -9.515]","[4.412, 0.138, 2.252]",True,True
apartment_2,seq_0007,4,4,"[-7.941, -3.717, -9.515]","[4.412, 0.245, 2.252]",True,True
apartment_2,seq_0007,8,8,"[-7.305, -3.757, -9.515]","[4.412, 0.357, 2.252]",True,True
apartment_2,seq_0007,16,16,"[-7.941, -3.734, -9.515]","[4.412, 0.245, 2.252]",True,True
apartment_2,seq_0007,-1,30,"[-7.941, -3.757, -9.515]","[4.883, 0.357, 2.252]",True,True
apartment_2,seq_0008,1,1,"[-2.298, -3.636, -11.055]","[6.283, 0.157, -1.149]",True,True
apartment_2,seq_0008,2,2,"[-8.702, -3.679, -13.475]","[6.283, 0.37, -1.149]",True,True
apartment_2,seq_0008,4,4,"[-8.702, -3.731, -13.475]","[6.283, 0.37, -0.325]",True,True
apartment_2,seq_0008,8,8,"[-8.702, -3.983, -13.504]","[6.283, 0.37, -0.111]",True,True
apartment_2,seq_0008,16,16,"[-8.702, -4.137, -13.475]","[6.357, 0.37, -0.091]",True,True
apartment_2,seq_0008,-1,23,"[-8.702, -4.137, -13.504]","[6.357, 0.372, -0.091]",True,True
