scene,seq,N_req,N,method,frac,n_cand,kept,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,grid_voxel
apartment_2,seq_0000,1,1,A_point,1.0,9020,9020,9020,90479,0.5124527409528559,1.6097980601739807,1.0611254005634183,0.31940133037694013,0.1578156257253064,0.21125201092030027,0.4088691796008869,0.2029642237425259,0.2712693200353389,0.6354767184035477,0.3068999436333293,0.4139061946563996,0.05126832018038331,
apartment_2,seq_0000,1,1,A_point,0.5,9020,4510,4510,90479,0.30065631435934886,1.8553228545484404,1.0779895844538947,0.46518847006651887,0.131201715315156,0.20467649104084581,0.5611973392461197,0.17629505189049394,0.2683046367182784,0.7951219512195122,0.2532521358547287,0.3841497703806963,0.04161504495060199,
apartment_2,seq_0000,1,1,A_point,0.25,9020,2255,2255,90479,0.17784377960682599,2.2460531877460426,1.2119484836764343,0.5977827050997783,0.08837409785696128,0.1539837747000157,0.6940133037694013,0.11951944650139812,0.2039207048604121,0.9099778270509978,0.1953934062047547,0.3217085117632273,0.02835780681665095,
apartment_2,seq_0000,1,1,A_point,0.1,9020,902,902,90479,0.1280019058190458,3.257217886220969,1.6926098960200073,0.6962305986696231,0.04261762397904486,0.08031877981769624,0.8015521064301552,0.060047082748483076,0.11172449154209524,0.9689578713968958,0.10053161507090043,0.182163361079707,0.013158808416082217,
apartment_2,seq_0000,1,1,A_point,0.05,9020,451,451,90479,0.09716885024396893,3.496460032021786,1.7968144411328775,0.7849223946784922,0.024425557311641376,0.0473768220189282,0.9002217294900222,0.03682622486985931,0.07075788958011212,0.9955654101995566,0.07053570441759967,0.13173779961282528,0.0064457367056680445,
apartment_2,seq_0000,1,1,A_point,0.02,9020,180,180,90479,0.07784312296892132,3.7387883713307604,1.9083157471498409,0.9,0.011361752450844947,0.02244021581608337,0.9555555555555556,0.021717746659445838,0.04247023514823492,1.0,0.050774212800760395,0.09664152808894218,0.002430433251144769,
apartment_2,seq_0000,1,1,B_argmax,1.0,9449,9449,9449,90479,0.46433612142884567,1.4147169831435293,0.9395265522861875,0.30437083289236955,0.14685175565600858,0.19811681558107017,0.4167636786961583,0.2194431857116016,0.2875038119153492,0.6669488834797334,0.35085489450590746,0.4598180616252653,0.057191694454563284,
apartment_2,seq_0000,1,1,B_argmax,0.5,9449,4724,4724,90479,0.29507002349796735,1.6333152018902275,0.9641926126940974,0.4426333615580017,0.11627007371876347,0.1841642413711335,0.5702794242167655,0.1807712286828988,0.27452239555409313,0.8056731583403896,0.2829827915869981,0.4188497559198272,0.04834662177186239,
apartment_2,seq_0000,1,1,B_argmax,0.25,9449,2362,2362,90479,0.18890942451794449,2.2989763995743333,1.243942912046139,0.560965283657917,0.0824169144221311,0.14371870379686458,0.6841659610499576,0.12064677991578156,0.2051220511981861,0.9089754445385266,0.20132848506283227,0.3296442430388605,0.035448769937821034,
apartment_2,seq_0000,1,1,B_argmax,0.1,9449,944,944,90479,0.12042136956927589,3.220898038772162,1.670659704170719,0.6864406779661016,0.04487229080781176,0.08423798575771986,0.798728813559322,0.06230174957724997,0.11558754044974323,0.9925847457627118,0.10430044540722157,0.1887654823328285,0.02046303732932919,
apartment_2,seq_0000,1,1,B_argmax,0.05,9449,472,472,90479,0.09287947998548443,3.500430917042509,1.796655198513997,0.75,0.025210269786359266,0.0487808355402212,0.8813559322033898,0.03798671514937168,0.0728342513821673,1.0,0.07219354767404591,0.134665141066477,0.011077507385004924,
apartment_2,seq_0000,1,1,B_argmax,0.02,9449,188,188,90479,0.06251455104088856,3.7142264096007644,1.8883704803208265,0.8829787234042553,0.012743288497883486,0.025123983692080177,0.9414893617021277,0.023629792548547177,0.04610249046597412,1.0,0.05275257242011958,0.10021836811825473,0.005439197541765267,
apartment_2,seq_0000,1,1,C_on_B,1.0,9449,9449,9449,90479,0.46433612142884567,1.4147169831435293,0.9395265522861875,0.30437083289236955,0.14685175565600858,0.19811681558107017,0.4167636786961583,0.2194431857116016,0.2875038119153492,0.6669488834797334,0.35085489450590746,0.4598180616252653,0.057191694454563284,
apartment_2,seq_0000,1,1,C_on_B,0.5,9449,4724,4724,90479,0.27488206083782385,2.2161841909475237,1.2455331258926738,0.5156646909398814,0.11905525038959316,0.19344780240661033,0.6418289585097375,0.15131688016003714,0.24489709423665024,0.8285351397121083,0.2110876556991125,0.336455762759582,0.05552179614289826,
apartment_2,seq_0000,1,1,C_on_B,0.25,9449,2362,2362,90479,0.1003590146046595,2.7387199789308374,1.4195394967677484,0.7324301439458086,0.08573260093502359,0.15349792357713357,0.8475867908552075,0.11230230219166878,0.19832697050062192,1.0,0.16441384188596248,0.28239760808694414,0.04355970301750562,
apartment_2,seq_0000,1,1,C_on_B,0.1,9449,944,944,90479,0.06429443007245468,2.9137994900312183,1.4890469600518366,0.888771186440678,0.05479724576973662,0.10322984846442956,0.9417372881355932,0.07502293349838084,0.13897454372713702,1.0,0.13046121199394334,0.23081059413587793,0.024829037348763808,
apartment_2,seq_0000,1,1,C_on_B,0.05,9449,472,472,90479,0.04997033988528368,3.3453264254741897,1.6976483826797366,0.9470338983050848,0.032637407575238454,0.06310020746963838,0.9978813559322034,0.042904983476828876,0.08227256924301486,1.0,0.07468031255871528,0.1389814472006253,0.014466673723580677,
apartment_2,seq_0000,1,1,C_on_B,0.02,9449,188,188,90479,0.04654646416840823,3.621464296598828,1.8340053803836183,1.0,0.017086837829772654,0.033599565335506655,1.0,0.025155008344477724,0.04907552153522721,1.0,0.050851578819394554,0.09678165755153555,0.006505674786974508,
apartment_2,seq_0000,1,1,D_conf_sum,1.0,9449,9449,9449,90479,0.46433612142884567,1.4147169831435293,0.9395265522861875,0.30437083289236955,0.14685175565600858,0.19811681558107017,0.4167636786961583,0.2194431857116016,0.2875038119153492,0.6669488834797334,0.35085489450590746,0.4598180616252653,0.057191694454563284,
apartment_2,seq_0000,1,1,D_conf_sum,0.5,9449,4724,4724,90479,0.22863527811349516,1.9650840500439637,1.0968596640787294,0.506350550381033,0.1200278517667083,0.19405576116524775,0.6435224386113463,0.16847003172006764,0.2670326378794612,0.867485182049111,0.2519590181147007,0.390498632564557,0.05555555555555555,
apartment_2,seq_0000,1,1,D_conf_sum,0.25,9449,2362,2362,90479,0.14264524703868678,2.6539273278636872,1.398286287451187,0.6490262489415749,0.08461631980901646,0.14971381155925423,0.7658763759525825,0.11461223046231722,0.1993865657472437,0.9640135478408128,0.170525757358061,0.2897901193827218,0.03987646779338899,
apartment_2,seq_0000,1,1,D_conf_sum,0.1,9449,944,944,90479,0.1028821558652199,3.156530761280335,1.6297064585727774,0.7383474576271186,0.048187977320704255,0.09047137347421737,0.8315677966101694,0.06581637728091601,0.12197848241303517,1.0,0.10937344577194708,0.1971805728518057,0.02171176840780365,
apartment_2,seq_0000,1,1,D_conf_sum,0.05,9449,472,472,90479,0.07996399133727689,3.470557901154573,1.775260946245925,0.8114406779661016,0.027509145768631397,0.05321424300060302,0.9046610169491526,0.04081610097370661,0.07810815241281256,1.0,0.07575238453121719,0.14083609875376285,0.01246610557453252,
apartment_2,seq_0000,1,1,D_conf_sum,0.02,9449,188,188,90479,0.045408000832780834,3.6991155739325285,1.8722617873826546,0.9893617021276596,0.014058510814664176,0.02772308552204886,0.9893617021276596,0.02177300810132738,0.042608329310918826,1.0,0.05328308226218238,0.10117523609653725,0.006292198380996147,
apartment_2,seq_0000,1,1,E_conf_filter50,1.0,1542,1542,1542,90479,0.09265406580069702,2.8513802082521114,1.4720171370264041,0.7795071335927367,0.0651421876899612,0.12023640751891737,0.8553826199740596,0.08978879076912875,0.16251818499674933,1.0,0.14440919992484444,0.252373364237771,0.031547269016569235,
apartment_2,seq_0000,1,1,E_conf_filter50,0.5,1542,771,771,90479,0.08697549889385997,3.1781111571095906,1.6325433280017252,0.808041504539559,0.044120735198222794,0.0836727646179997,0.8728923476005188,0.058963958487604856,0.11046593302379307,1.0,0.10508515788193945,0.19018472401412184,0.019835000877654906,
apartment_2,seq_0000,1,1,E_conf_filter50,0.25,1542,385,385,90479,0.07789821045745698,3.513804820409805,1.795851515433631,0.8311688311688312,0.023242962455376385,0.04522134661786548,0.9142857142857143,0.03344422462670896,0.06452803809627894,1.0,0.07114358027829662,0.13283668331338477,0.010683685342547865,
apartment_2,seq_0000,1,1,E_conf_filter50,0.1,1542,154,154,90479,0.04211084791497858,3.774523204156183,1.9083170260355808,1.0,0.011792791697520972,0.023310685338518343,1.0,0.018015230053382552,0.035392849775809095,1.0,0.043059715514097194,0.08256423841059603,0.005339084930344388,
apartment_2,seq_0000,1,1,E_conf_filter50,0.05,1542,77,77,90479,0.04105599531795053,3.959124204995695,2.000090100156823,1.0,0.006001392588335415,0.011931181472611017,1.0,0.010068634710816874,0.019936535726009407,1.0,0.027453884326749854,0.05344061615911707,0.002722868559708618,
apartment_2,seq_0000,1,1,E_conf_filter50,0.02,1542,30,30,90479,0.03999393243209343,4.094208944097141,2.067101438264617,1.0,0.002564130903303529,0.005115145902922468,1.0,0.005316150709004299,0.010576077396657871,1.0,0.01947413211905525,0.03820426925120066,0.0010608578804059549,
apartment_2,seq_0000,1,1,B_argmax_matchE50,1.0,9449,1542,1542,90479,0.1469727521785049,2.7805151051569457,1.4637439286677252,0.6303501945525292,0.06599321389493695,0.11947793204668067,0.7438391699092088,0.09469600680820964,0.16800392172855222,0.9571984435797666,0.15401363852385636,0.26533479514731323,0.028062191884717484,
apartment_2,seq_0000,1,1,B_argmax_matchE50,0.5,9449,771,771,90479,0.11546984912478585,3.2848736671386676,1.7001717581317266,0.6926070038910506,0.037566728191071964,0.07126791314229712,0.814526588845655,0.05320571624354822,0.09988672844096103,0.9987029831387808,0.09244133997944275,0.1692194882872755,0.017014423750175044,
