scene,seq,N_req,N,box_lo,box_hi,A_in_box,B_in_box
apartment_2,seq_0000,1,1,"[-5.374, -3.792, -9.766]","[4.555, 0.524, -1.029]",True,True
apartment_2,seq_0000,2,2,"[-5.374, -3.792, -9.766]","[4.555, 0.524, 2.333]",True,True
apartment_2,seq_0000,4,4,"[-7.376, -3.792, -9.766]","[4.555, 0.524, 2.333]",True,True
apartment_2,seq_0000,8,8,"[-7.433, -3.792, -9.989]","[4.678, 0.524, 2.333]",True,True
apartment_2,seq_0000,16,16,"[-8.222, -3.792, -9.851]","[5.534, 0.524, 2.333]",True,True
apartment_2,seq_0000,-1,37,"[-8.222, -3.792, -10.088]","[5.534, 0.524, 2.333]",True,True
apartment_2,seq_0001,1,1,"[-5.486, -3.695, -9.291]","[3.192, 0.524, 0.949]",True,True
apartment_2,seq_0001,2,2,"[-5.486, -3.695, -9.291]","[8.157, 0.524, 2.061]",True,True
apartment_2,seq_0001,4,4,"[-7.711, -3.792, -9.291]","[8.157, 0.524, 2.061]",True,True
apartment_2,seq_0001,8,8,"[-7.811, -3.695, -9.778]","[8.157, 0.524, 2.166]",True,True
apartment_2,seq_0001,16,16,"[-8.487, -3.792, -10.318]","[8.157, 0.524, 2.286]",True,True
apartment_2,seq_0001,-1,45,"[-8.487, -3.792, -10.318]","[8.157, 0.524, 2.379]",True,True
apartment_2,seq_0002,1,1,"[-4.802, -3.656, -6.918]","[3.324, 0.524, -0.793]",True,True
apartment_2,seq_0002,2,2,"[-6.703, -3.656, -10.959]","[4.252, 0.524, -0.493]",True,True
apartment_2,seq_0002,4,4,"[-6.703, -3.656, -10.959]","[4.252, 0.524, -0.118]",True,True
apartment_2,seq_0002,8,8,"[-6.703, -3.656, -11.573]","[4.568, 0.524, -0.183]",True,True
apartment_2,seq_0002,16,16,"[-6.703, -3.656, -12.229]","[4.568, 0.524, -0.118]",True,True
apartment_2,seq_0002,-1,24,"[-6.703, -3.656, -12.229]","[5.81, 0.524, -0.118]",True,True
apartment_2,seq_0003,1,1,"[-7.027, -3.675, -8.086]","[4.264, 0.524, -0.538]",True,True
apartment_2,seq_0003,2,2,"[-7.027, -3.675, -15.712]","[4.264, 0.524, -0.538]",True,True
apartment_2,seq_0003,4,4,"[-7.027, -3.792, -15.712]","[4.264, 0.524, 0.604]",True,True
apartment_2,seq_0003,8,8,"[-7.98, -3.792, -15.712]","[4.264, 0.524, 2.52]",True,True
apartment_2,seq_0003,16,16,"[-7.65, -3.792, -15.712]","[4.264, 0.524, 0.604]",True,True
apartment_2,seq_0003,-1,31,"[-7.98, -3.792, -15.712]","[4.264, 0.524, 2.52]",True,True
apartment_2,seq_0004,1,1,"[-6.521, -3.665, -9.599]","[3.313, 0.524, 0.108]",True,True
apartment_2,seq_0004,2,2,"[-6.521, -3.685, -15.892]","[4.061, 0.524, 0.108]",True,True
apartment_2,seq_0004,4,4,"[-6.672, -3.792, -15.892]","[4.256, 0.524, 0.108]",True,True
apartment_2,seq_0004,8,8,"[-7.651, -3.847, -15.892]","[4.341, 0.524, 1.042]",True,True
apartment_2,seq_0004,16,16,"[-7.701, -3.792, -15.892]","[4.374, 0.524, 0.91]",True,True
apartment_2,seq_0004,-1,42,"[-8.096, -3.847, -15.892]","[4.401, 0.581, 1.311]",True,True
apartment_2,seq_0005,1,1,"[-4.318, -3.617, -8.362]","[4.87, 0.524, 1.41]",True,True
apartment_2,seq_0005,2,2,"[-4.318, -3.646, -8.362]","[6.885, 0.524, 2.071]",True,True
apartment_2,seq_0005,4,4,"[-4.318, -3.654, -8.362]","[7.761, 0.524, 2.183]",True,True
apartment_2,seq_0005,8,8,"[-4.318, -3.646, -8.362]","[8.096, 0.524, 2.338]",True,True
apartment_2,seq_0005,16,16,"[-4.318, -3.654, -8.362]","[8.199, 0.524, 2.338]",True,True
apartment_2,seq_0005,-1,18,"[-4.318, -3.654, -8.362]","[8.199, 0.524, 2.338]",True,True
apartment_2,seq_0006,1,1,"[-5.356, -3.695, -8.072]","[3.596, 0.524, -1.082]",True,True
apartment_2,seq_0006,2,2,"[-8.472, -3.695, -8.242]","[3.596, 0.524, -0.653]",True,True
apartment_2,seq_0006,4,4,"[-8.472, -3.695, -8.242]","[3.715, 0.524, -0.653]",True,True
apartment_2,seq_0006,8,8,"[-8.813, -3.695, -8.242]","[3.926, 0.524, -0.124]",True,True
apartment_2,seq_0006,16,16,"[-8.989, -3.695, -8.283]","[3.926, 0.524, -0.124]",True,True
apartment_2,seq_0006,-1,18,"[-9.112, -3.695, -8.618]","[4.022, 0.524, -0.124]",True,True
apartment_2,seq_0007,1,1,"[-5.232, -3.656, -9.436]","[3.844, 0.524, -0.747]",True,True
apartment_2,seq_0007,2,2,"[-5.232, -3.695, -9.436]","[3.844, 0.524, 2.462]",True,True
apartment_2,seq_0007,4,4,"[-8.009, -3.695, -9.436]","[4.714, 0.524, 2.462]",True,True
apartment_2,seq_0007,8,8,"[-7.655, -3.764, -9.436]","[4.565, 0.524, 2.462]",True,True
apartment_2,seq_0007,16,16,"[-8.062, -3.792, -9.436]","[4.714, 0.524, 2.477]",True,True
apartment_2,seq_0007,-1,30,"[-8.062, -3.792, -9.436]","[4.714, 0.524, 2.517]",True,True
apartment_2,seq_0008,1,1,"[-2.344, -3.636, -11.055]","[5.768, 0.275, -0.759]",True,True
apartment_2,seq_0008,2,2,"[-6.75, -3.646, -13.75]","[5.768, 0.524, -0.759]",True,True
apartment_2,seq_0008,4,4,"[-6.75, -3.656, -13.75]","[5.768, 0.524, -0.325]",True,True
apartment_2,seq_0008,8,8,"[-6.75, -3.665, -13.75]","[5.768, 0.524, -0.461]",True,True
apartment_2,seq_0008,16,16,"[-6.864, -3.656, -13.75]","[6.198, 0.524, -0.325]",True,True
apartment_2,seq_0008,-1,23,"[-6.864, -3.665, -13.75]","[6.198, 0.524, -0.325]",True,True
apartment_2,seq_0009,1,1,"[-4.312, -3.617, -9.628]","[4.584, 0.524, -1.487]",True,True
apartment_2,seq_0009,2,2,"[-4.312, -4.028, -9.628]","[6.643, 0.524, -1.487]",True,True
apartment_2,seq_0009,4,4,"[-4.312, -4.028, -9.725]","[6.944, 0.524, -1.487]",True,True
apartment_2,seq_0009,8,8,"[-4.649, -4.028, -10.022]","[7.035, 0.524, -1.487]",True,True
apartment_2,seq_0009,16,16,"[-5.679, -4.028, -11.587]","[7.252, 0.584, -0.852]",True,True
apartment_2,seq_0009,-1,25,"[-5.77, -4.028, -11.587]","[7.252, 0.584, -0.852]",True,True
apartment_2,seq_0010,1,1,"[-6.544, -3.665, -6.568]","[3.895, 0.524, 1.169]",True,True
apartment_2,seq_0010,2,2,"[-6.544, -3.665, -6.568]","[3.895, 0.524, 1.855]",True,True
apartment_2,seq_0010,4,4,"[-6.976, -3.665, -8.797]","[3.895, 0.524, 1.855]",True,True
apartment_2,seq_0010,8,8,"[-7.565, -3.685, -10.706]","[4.036, 0.524, 2.343]",True,True
apartment_2,seq_0010,16,16,"[-7.867, -3.792, -10.706]","[4.443, 0.524, 2.343]",True,True
apartment_2,seq_0010,-1,21,"[-7.867, -3.792, -10.706]","[4.443, 0.524, 2.343]",True,True
apartment_2,seq_0011,1,1,"[-7.745, -3.623, -9.088]","[3.654, 0.372, -1.148]",True,True
apartment_2,seq_0011,2,2,"[-7.745, -3.792, -9.088]","[4.563, 0.524, -1.148]",True,True
apartment_2,seq_0011,4,4,"[-8.382, -3.792, -9.126]","[4.563, 0.524, -1.148]",True,True
apartment_2,seq_0011,8,8,"[-8.382, -3.792, -9.4]","[4.563, 0.524, -1.109]",True,True
apartment_2,seq_0011,16,15,"[-8.382, -3.792, -9.4]","[5.895, 0.524, -0.873]",True,True
apartment_2,seq_0011,-1,15,"[-8.382, -3.792, -9.4]","[5.895, 0.524, -0.873]",True,True
frl_apartment_5,seq_0000,1,1,"[-3.145, -3.458, -5.93]","[6.617, 0.712, 1.366]",True,True
frl_apartment_5,seq_0000,2,2,"[-3.145, -3.494, -5.93]","[8.793, 0.712, 2.219]",True,True
frl_apartment_5,seq_0000,4,4,"[-3.873, -3.494, -6.885]","[10.691, 0.712, 2.483]",True,True
frl_apartment_5,seq_0000,8,8,"[-3.847, -3.494, -7.946]","[11.341, 0.712, 2.652]",True,True
frl_apartment_5,seq_0000,16,15,"[-3.873, -3.497, -7.946]","[11.341, 0.712, 2.652]",True,True
frl_apartment_5,seq_0000,-1,15,"[-3.873, -3.497, -7.946]","[11.341, 0.712, 2.652]",True,True
frl_apartment_5,seq_0001,1,1,"[-3.22, -3.604, -6.605]","[10.557, 0.817, 1.284]",True,True
frl_apartment_5,seq_0001,2,2,"[-3.96, -3.604, -6.605]","[10.557, 1.766, 1.284]",True,True
frl_apartment_5,seq_0001,4,4,"[-3.96, -3.604, -6.679]","[10.714, 1.766, 1.689]",True,True
frl_apartment_5,seq_0001,8,8,"[-3.96, -3.643, -6.712]","[10.875, 1.766, 1.656]",True,True
frl_apartment_5,seq_0001,16,16,"[-3.96, -3.777, -6.716]","[10.947, 1.766, 1.689]",True,True
frl_apartment_5,seq_0001,-1,16,"[-3.96, -3.777, -6.716]","[10.947, 1.766, 1.689]",True,True
frl_apartment_5,seq_0002,1,1,"[-1.795, -3.458, -6.962]","[10.35, 1.224, 0.34]",True,True
frl_apartment_5,seq_0002,2,2,"[-3.608, -3.804, -6.962]","[10.35, 2.425, 1.564]",True,True
