scene,seq,N_req,N,box_lo,box_hi,A_in_box,B_in_box
apartment_2,seq_0000,1,1,"[-6.596, -3.695, -9.559]","[4.615, 0.274, -1.029]",True,True
apartment_2,seq_0000,2,2,"[-6.596, -3.695, -9.559]","[4.615, 0.274, 2.087]",True,True
apartment_2,seq_0000,4,4,"[-8.301, -3.695, -10.315]","[4.615, 0.314, 2.087]",True,True
apartment_2,seq_0000,8,8,"[-7.756, -3.695, -10.129]","[5.278, 0.294, 2.087]",True,True
apartment_2,seq_0000,16,16,"[-8.301, -3.714, -10.573]","[5.74, 0.314, 3.019]",True,True
apartment_2,seq_0000,-1,37,"[-8.301, -3.714, -10.573]","[5.74, 0.314, 3.019]",True,True
apartment_2,seq_0001,1,1,"[-6.044, -3.695, -9.143]","[3.112, 0.255, 1.951]",True,True
apartment_2,seq_0001,2,2,"[-6.044, -3.695, -9.143]","[8.157, 0.274, 2.113]",True,True
apartment_2,seq_0001,4,4,"[-8.238, -3.695, -9.143]","[8.157, 0.274, 2.113]",True,True
apartment_2,seq_0001,8,8,"[-8.665, -3.709, -10.001]","[8.157, 0.333, 2.486]",True,True
apartment_2,seq_0001,16,16,"[-8.952, -3.695, -10.612]","[8.157, 0.343, 2.612]",True,True
apartment_2,seq_0001,-1,45,"[-8.952, -3.749, -10.828]","[8.157, 0.343, 2.758]",True,True
apartment_2,seq_0002,1,1,"[-5.515, -3.656, -7.371]","[3.17, 0.294, -1.175]",True,True
apartment_2,seq_0002,2,2,"[-7.283, -3.656, -11.555]","[3.883, 0.294, -0.493]",True,True
apartment_2,seq_0002,4,4,"[-7.283, -3.656, -11.555]","[4.174, 0.294, -0.191]",True,True
apartment_2,seq_0002,8,8,"[-7.283, -3.656, -13.444]","[5.168, 0.294, 0.04]",True,True
apartment_2,seq_0002,16,16,"[-7.283, -3.656, -13.444]","[5.168, 0.304, 0.606]",True,True
apartment_2,seq_0002,-1,24,"[-7.283, -3.656, -13.493]","[6.751, 0.304, 0.606]",True,True
apartment_2,seq_0003,1,1,"[-7.421, -3.649, -8.289]","[3.886, 0.128, -0.536]",True,True
apartment_2,seq_0003,2,2,"[-7.421, -3.665, -15.472]","[3.886, 0.617, -0.536]",True,True
apartment_2,seq_0003,4,4,"[-7.421, -3.695, -15.472]","[4.371, 0.617, 1.478]",True,True
apartment_2,seq_0003,8,8,"[-8.146, -3.695, -15.472]","[4.172, 0.617, 2.367]",True,True
apartment_2,seq_0003,16,16,"[-7.698, -3.704, -15.472]","[5.034, 0.617, 1.478]",True,True
apartment_2,seq_0003,-1,31,"[-8.507, -3.714, -15.472]","[5.034, 0.617, 2.67]",True,True
apartment_2,seq_0004,1,1,"[-6.521, -3.665, -9.878]","[3.566, 0.343, 0.048]",True,True
apartment_2,seq_0004,2,2,"[-6.521, -3.685, -15.892]","[4.109, 0.557, 0.048]",True,True
apartment_2,seq_0004,4,4,"[-7.493, -3.685, -15.892]","[4.13, 0.557, 0.048]",True,True
apartment_2,seq_0004,8,8,"[-8.478, -3.714, -15.892]","[4.183, 0.557, 0.631]",True,True
apartment_2,seq_0004,16,16,"[-8.478, -3.695, -15.892]","[4.801, 0.557, 1.509]",True,True
apartment_2,seq_0004,-1,42,"[-8.478, -3.714, -15.892]","[4.801, 0.557, 1.509]",True,True
apartment_2,seq_0005,1,1,"[-3.434, -3.617, -7.921]","[5.32, 0.235, 1.603]",True,True
apartment_2,seq_0005,2,2,"[-3.434, -3.646, -7.921]","[6.887, 0.235, 1.775]",True,True
apartment_2,seq_0005,4,4,"[-3.434, -3.679, -7.921]","[7.499, 0.235, 2.037]",True,True
apartment_2,seq_0005,8,8,"[-3.434, -3.679, -7.921]","[7.781, 0.235, 2.141]",True,True
apartment_2,seq_0005,16,16,"[-3.434, -3.679, -7.921]","[7.832, 0.235, 2.217]",True,True
apartment_2,seq_0005,-1,18,"[-3.434, -3.679, -7.921]","[7.832, 0.235, 2.217]",True,True
apartment_2,seq_0006,1,1,"[-7.538, -3.695, -7.935]","[3.47, 0.274, -1.134]",True,True
apartment_2,seq_0006,2,2,"[-9.152, -3.695, -8.402]","[3.707, 0.486, -0.674]",True,True
apartment_2,seq_0006,4,4,"[-9.152, -3.695, -8.402]","[3.707, 0.486, -0.387]",True,True
apartment_2,seq_0006,8,8,"[-9.218, -3.695, -8.402]","[3.721, 0.486, 0.244]",True,True
apartment_2,seq_0006,16,16,"[-9.368, -3.695, -8.421]","[3.965, 0.486, 0.244]",True,True
apartment_2,seq_0006,-1,18,"[-9.368, -3.695, -8.618]","[3.965, 0.486, 0.244]",True,True
apartment_2,seq_0007,1,1,"[-5.98, -3.656, -9.436]","[4.02, 0.138, -0.755]",True,True
apartment_2,seq_0007,2,2,"[-5.98, -3.695, -9.436]","[4.02, 0.138, 2.244]",True,True
apartment_2,seq_0007,4,4,"[-8.171, -3.695, -9.436]","[4.303, 0.245, 2.244]",True,True
apartment_2,seq_0007,8,8,"[-8.238, -3.713, -9.436]","[4.228, 0.274, 2.405]",True,True
apartment_2,seq_0007,16,16,"[-8.171, -3.841, -9.74]","[4.303, 0.245, 2.741]",True,True
apartment_2,seq_0007,-1,30,"[-8.385, -3.841, -9.932]","[5.451, 0.274, 2.741]",True,True
apartment_2,seq_0008,1,1,"[-2.298, -3.636, -11.562]","[6.006, 0.157, -1.102]",True,True
apartment_2,seq_0008,2,2,"[-7.262, -3.646, -13.561]","[6.006, 0.17, -1.102]",True,True
apartment_2,seq_0008,4,4,"[-7.262, -3.656, -13.561]","[6.006, 0.226, -0.053]",True,True
apartment_2,seq_0008,8,8,"[-7.262, -3.665, -13.907]","[6.006, 0.226, 0.2]",True,True
apartment_2,seq_0008,16,16,"[-7.414, -3.656, -13.561]","[6.669, 0.226, 0.695]",True,True
apartment_2,seq_0008,-1,23,"[-7.485, -3.665, -13.907]","[6.669, 0.226, 0.695]",True,True
apartment_2,seq_0009,1,1,"[-4.312, -3.617, -9.467]","[4.857, 0.167, -0.916]",True,True
apartment_2,seq_0009,2,2,"[-4.312, -3.858, -9.467]","[6.482, 0.524, -0.916]",True,True
apartment_2,seq_0009,4,4,"[-5.054, -3.858, -9.611]","[6.714, 0.524, -0.916]",True,True
apartment_2,seq_0009,8,8,"[-6.803, -3.858, -10.412]","[6.786, 0.524, 0.396]",True,True
apartment_2,seq_0009,16,16,"[-7.191, -3.858, -11.587]","[7.101, 0.524, 0.396]",True,True
apartment_2,seq_0009,-1,25,"[-7.191, -3.858, -11.587]","[7.101, 0.524, 0.396]",True,True
apartment_2,seq_0010,1,1,"[-8.169, -3.665, -6.442]","[3.468, 0.177, 1.845]",True,True
apartment_2,seq_0010,2,2,"[-8.169, -3.665, -6.442]","[3.468, 0.177, 1.859]",True,True
apartment_2,seq_0010,4,4,"[-8.169, -3.749, -9.981]","[3.468, 0.294, 1.859]",True,True
apartment_2,seq_0010,8,8,"[-8.169, -3.805, -11.415]","[3.801, 0.284, 2.22]",True,True
apartment_2,seq_0010,16,16,"[-8.169, -3.914, -11.415]","[4.443, 0.46, 2.22]",True,True
apartment_2,seq_0010,-1,21,"[-8.169, -3.914, -11.415]","[4.443, 0.46, 2.22]",True,True
apartment_2,seq_0011,1,1,"[-8.982, -3.606, -9.753]","[3.649, 0.163, -1.065]",True,True
apartment_2,seq_0011,2,2,"[-8.982, -3.665, -9.753]","[4.776, 0.343, -1.065]",True,True
apartment_2,seq_0011,4,4,"[-8.982, -3.665, -9.753]","[4.776, 0.343, -1.063]",True,True
