scene,seq,N_req,N,method,frac,n_cand,kept,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,grid_voxel
apartment_2,seq_0000,1,1,A_point,1.0,9020,9020,9020,90479,0.5124527409528559,1.6097980601739807,1.0611254005634183,0.31940133037694013,0.1578156257253064,0.21125201092030027,0.4088691796008869,0.2029642237425259,0.2712693200353389,0.6354767184035477,0.3068999436333293,0.4139061946563996,0.05126832018038331,
apartment_2,seq_0000,1,1,A_point,0.5,9020,4510,4510,90479,0.30065631435934886,1.8553228545484404,1.0779895844538947,0.46518847006651887,0.131201715315156,0.20467649104084581,0.5611973392461197,0.17629505189049394,0.2683046367182784,0.7951219512195122,0.2532521358547287,0.3841497703806963,0.04161504495060199,
apartment_2,seq_0000,1,1,A_point,0.25,9020,2255,2255,90479,0.17784377960682599,2.2460531877460426,1.2119484836764343,0.5977827050997783,0.08837409785696128,0.1539837747000157,0.6940133037694013,0.11951944650139812,0.2039207048604121,0.9099778270509978,0.1953934062047547,0.3217085117632273,0.02835780681665095,
apartment_2,seq_0000,1,1,A_point,0.1,9020,902,902,90479,0.1280019058190458,3.257217886220969,1.6926098960200073,0.6962305986696231,0.04261762397904486,0.08031877981769624,0.8015521064301552,0.060047082748483076,0.11172449154209524,0.9689578713968958,0.10053161507090043,0.182163361079707,0.013158808416082217,
apartment_2,seq_0000,1,1,A_point,0.05,9020,451,451,90479,0.09716885024396893,3.496460032021786,1.7968144411328775,0.7849223946784922,0.024425557311641376,0.0473768220189282,0.9002217294900222,0.03682622486985931,0.07075788958011212,0.9955654101995566,0.07053570441759967,0.13173779961282528,0.0064457367056680445,
apartment_2,seq_0000,1,1,A_point,0.02,9020,180,180,90479,0.07784312296892132,3.7387883713307604,1.9083157471498409,0.9,0.011361752450844947,0.02244021581608337,0.9555555555555556,0.021717746659445838,0.04247023514823492,1.0,0.050774212800760395,0.09664152808894218,0.002430433251144769,
apartment_2,seq_0000,1,1,B_argmax,1.0,9622,9622,9622,90479,0.5062785833926983,1.593230665604811,1.0497546244987546,0.29318229058407813,0.12586346002939908,0.17611889612642206,0.4190397006859281,0.18668420296422375,0.25829620413362986,0.6532945333610476,0.30776202212668136,0.4184129341471827,0.055885220782838835,
apartment_2,seq_0000,1,1,B_argmax,0.5,9622,4811,4811,90479,0.3101635087711603,1.853953285906286,1.0820583973387232,0.41800041571398877,0.10204577857845466,0.16404380355359327,0.5643317397630431,0.16194918157804575,0.2516741407013166,0.7886094367075452,0.2557499530277744,0.38624027011684064,0.04711876206449163,
apartment_2,seq_0000,1,1,B_argmax,0.25,9622,2405,2405,90479,0.18945346621831102,2.317998811591421,1.253726138904866,0.5488565488565489,0.0768355087920954,0.13480008790186015,0.6968814968814969,0.11386067485272826,0.1957401509226489,0.8964656964656965,0.2033842107008256,0.33154881753958537,0.034210792409585765,
apartment_2,seq_0000,1,1,B_argmax,0.1,9622,962,962,90479,0.13054273727406523,3.2109702734835572,1.6707565053788112,0.6434511434511434,0.04102609445285647,0.07713415706229095,0.8243243243243243,0.060378651399772325,0.11251593446488645,0.9636174636174636,0.10186894196443373,0.1842589280593446,0.016795326517838514,
apartment_2,seq_0000,1,1,B_argmax,0.05,9622,481,481,90479,0.10219067562247784,3.5403571040208126,1.8212738898216452,0.656964656964657,0.023298223897257928,0.045000572870166004,0.8835758835758836,0.03667149283259099,0.0704202967859825,1.0,0.06780578918865152,0.12700022771026975,0.008485868574233817,
apartment_2,seq_0000,1,1,B_argmax,0.02,9622,192,192,90479,0.07923087794172883,3.7642687366737353,1.9217498073077321,0.6927083333333334,0.010466517092363974,0.02062145313208243,0.9479166666666666,0.020966191049856874,0.0410249841338232,1.0,0.04972424540501111,0.09473772873718124,0.0037723875334931605,
apartment_2,seq_0000,1,1,C_on_B,1.0,9622,9622,9622,90479,0.5062785833926982,1.593230665604811,1.0497546244987546,0.29318229058407813,0.12586346002939908,0.17611889612642206,0.4190397006859281,0.18668420296422375,0.25829620413362986,0.6532945333610476,0.30776202212668136,0.4184129341471827,0.055885220782838835,
apartment_2,seq_0000,1,1,C_on_B,0.5,9622,4811,4811,90479,0.21800498635944301,2.2919134068532316,1.2549591966063374,0.48347536894616505,0.10433360227235049,0.1716296597091412,0.6458116815630845,0.14856486035433636,0.24156031107120157,0.8594886717938058,0.22293570883851502,0.3540399120963859,0.05395591795133138,
apartment_2,seq_0000,1,1,C_on_B,0.25,9622,2405,2405,90479,0.11752817948231817,2.8123299215656417,1.4649290505239798,0.671933471933472,0.07418295958178141,0.1336145713581373,0.8353430353430353,0.10022215099636379,0.17897176390131112,0.9704781704781705,0.15491992617071365,0.26718795236717807,0.04176003259319617,
apartment_2,seq_0000,1,1,C_on_B,0.1,9622,962,962,90479,0.06393114183878511,3.1645470628175225,1.6142391023281537,0.8388773388773388,0.04678433669691309,0.08862598654051744,0.9677754677754677,0.061030736413974516,0.11482055462184892,1.0,0.10297417080206457,0.1867209106577418,0.023916240633097555,
apartment_2,seq_0000,1,1,C_on_B,0.05,9622,481,481,90479,0.05575853813320838,3.3519458655462016,1.7038522018397049,0.8669438669438669,0.03081377999314758,0.05951231420541969,0.9916839916839917,0.042341316769637156,0.08121504509413684,1.0,0.07580764597309873,0.1409315991699028,0.012890047193068958,
apartment_2,seq_0000,1,1,C_on_B,0.02,9622,192,192,90479,0.0506607808942671,3.511200035016174,1.7809304079552206,0.9114583333333334,0.01789365488124316,0.03509826430055288,1.0,0.031266923816576225,0.060637887426587225,1.0,0.06110810243260867,0.11517790184151322,0.0056515135459715305,
apartment_2,seq_0000,1,1,D_conf_sum,1.0,9622,9622,9622,90479,0.5062785833926983,1.593230665604811,1.0497546244987546,0.29318229058407813,0.12586346002939908,0.17611889612642206,0.4190397006859281,0.18668420296422375,0.25829620413362986,0.6532945333610476,0.30776202212668136,0.4184129341471827,0.055885220782838835,
apartment_2,seq_0000,1,1,D_conf_sum,0.5,9622,4811,4811,90479,0.24852447944217437,2.045328986510035,1.1469267329761048,0.4541675327374766,0.10137158898749986,0.16574776702376917,0.6067345666181667,0.1585782336232717,0.2514394005226009,0.836832259405529,0.24410084107914543,0.37795393308144404,0.05151101083606088,
apartment_2,seq_0000,1,1,D_conf_sum,0.25,9622,2405,2405,90479,0.1551680579104188,2.773828053468871,1.464498055689645,0.6095634095634096,0.07711181600150312,0.13690472505639886,0.758004158004158,0.1059361840869152,0.18589262269340984,0.9293139293139293,0.16410437781142587,0.27894993739860596,0.038199966164777534,
apartment_2,seq_0000,1,1,D_conf_sum,0.1,9622,962,962,90479,0.10307195032158964,3.2105902415431666,1.6568310959323782,0.7079002079002079,0.044164944351728026,0.08314272558666849,0.8825363825363826,0.06185965804219764,0.11561547589727789,0.9885654885654885,0.10322837343471966,0.1869364006706513,0.01867270510364048,
apartment_2,seq_0000,1,1,D_conf_sum,0.05,9622,481,481,90479,0.08679209380026612,3.529130285052855,1.8079611894265606,0.7193347193347194,0.024690812232672776,0.04774287368907899,0.9251559251559252,0.03824091778202677,0.07344597800746838,1.0,0.07130936460394124,0.13312562544490408,0.009370722633629312,
apartment_2,seq_0000,1,1,D_conf_sum,0.02,9622,192,192,90479,0.06989833931057761,3.752480853643912,1.9111895964772447,0.7604166666666666,0.01108544524143724,0.021852324676497163,0.9739583333333334,0.018667315067584744,0.03663251518902872,1.0,0.04543595751500348,0.086922507664658,0.0042326549328066026,
apartment_2,seq_0000,1,1,E_conf_filter50,1.0,1930,1930,1930,90479,0.0966555790079108,2.8908528732196803,1.4937542261137955,0.7196891191709844,0.06545165176449784,0.11999081782634423,0.8699481865284974,0.08706992782855691,0.15829653520510062,0.9968911917098445,0.1402203826302236,0.24585883654095955,0.03786030851685162,
apartment_2,seq_0000,1,1,E_conf_filter50,0.5,1930,965,965,90479,0.08320019125135383,3.1369461889201804,1.6100731900857672,0.7730569948186529,0.04760220603675991,0.08968209533789019,0.9160621761658031,0.06576111583903448,0.12271306124666793,0.9989637305699481,0.11200389040550845,0.20142409568983496,0.020875514906095093,
apartment_2,seq_0000,1,1,E_conf_filter50,0.25,1930,482,482,90479,0.08257330084831183,3.3869074880049834,1.7347403944266477,0.7572614107883817,0.0260502437029587,0.050367804908235905,0.9253112033195021,0.039611401540689,0.07597059793225096,1.0,0.0786922932393152,0.14590313425342472,0.010469732635351158,
apartment_2,seq_0000,1,1,E_conf_filter50,0.1,1930,193,193,90479,0.07145721084981166,3.773426399049082,1.9224418049494467,0.7461139896373057,0.010809138032029531,0.02130955920570325,0.9740932642487047,0.018457321588434886,0.03622818401785054,1.0,0.044419146984383116,0.08506000126986815,0.004197086728035834,
apartment_2,seq_0000,1,1,E_conf_filter50,0.05,1930,96,96,90479,0.06396510343532769,3.9102822637794965,1.987123683607412,0.71875,0.006156124625603731,0.012207689863119693,1.0,0.011759634832392047,0.02324590629540216,1.0,0.030846936858276507,0.05984775383295809,0.0022252048601299804,
apartment_2,seq_0000,1,1,E_conf_filter50,0.02,1930,38,38,90479,0.04845060820443325,4.064499966641437,2.056475287422935,0.9473684210526315,0.0033930525315266527,0.006761886989852886,1.0,0.006410327258258823,0.012738993399883594,1.0,0.021684589794316915,0.042448697006739436,0.0012021355584626808,
apartment_2,seq_0000,1,1,B_argmax_matchE50,1.0,9622,1930,1930,90479,0.171135179627484,2.42163941997464,1.296387299801062,0.5761658031088083,0.06757369113274904,0.12096088672141472,0.727979274611399,0.09773538611169443,0.17233395231992013,0.9181347150259067,0.16963052199958,0.28635530107886886,0.029337603925310072,
apartment_2,seq_0000,1,1,B_argmax_matchE50,0.5,9622,965,965,90479,0.1307473522970924,3.2108168914324713,1.6707821218647818,0.6424870466321243,0.04111451275986693,0.07728344534585381,0.8227979274611399,0.060378651399772325,0.11250169088203398,0.9637305699481865,0.10190209882956267,0.1843152348108295,0.016828929068150207,
